source,source_match_id,source_url,partida_id,temporada_id,rodada,data,mandante,visitante,gols_mandante,gols_visitante,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante
Transfermarkt,4316404,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4316404,8776,2024,38,2024-12-08,Fortaleza,Internacional,3,0,4-2-3-1,4-4-2 losango,Juan Pablo Vojvoda,Roger Machado
Transfermarkt,4316406,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4316406,8777,2024,38,2024-12-08,Juventude,Cruzeiro,0,1,4-2-3-1,4-2-3-1,Fábio Matias,Fernando Diniz
Transfermarkt,4316399,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4316399,8778,2024,38,2024-12-08,Bahia,Atletico-GO,2,0,4-2-3-1,4-1-4-1,Rogério Ceni,Anderson Gomes
Transfermarkt,4316400,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4316400,8779,2024,38,2024-12-08,Flamengo,Vitoria,2,2,4-4-2,4-3-3 ofensivo,Filipe Luís,Thiago Carpini
Transfermarkt,4316398,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4316398,8781,2024,38,2024-12-08,Atletico-MG,Athletico-PR,1,0,4-3-3 ofensivo,4-3-2-1,Lucas Gonçalves,Lucho González
Transfermarkt,4316401,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4316401,8782,2024,38,2024-12-08,Botafogo-RJ,Sao Paulo,2,1,3-4-3,3-4-1-2,Artur Jorge,Luis Zubeldía
Transfermarkt,4316402,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4316402,8784,2024,38,2024-12-08,Palmeiras,Fluminense,0,1,4-2-3-1,4-2-3-1,Abel Ferreira,Mano Menezes
Transfermarkt,4316397,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4316397,8785,2024,38,2024-12-08,Gremio,Corinthians,0,3,4-4-2,4-3-1-2,Renato Gaúcho,Ramón Díaz
