temporada;fase;rodada;jogo;data;mandante;placar;visitante;observacao;fonte
1993;Primeira fase;1;1;1993-09-06;Sao Paulo;3-2;Internacional;;https://www.rsssf.org/tablesb/braz93.html
1993;Primeira fase;1;2;1993-09-06;Bragantino;0-0;Botafogo-RJ;;https://www.rsssf.org/tablesb/braz93.html
1993;Primeira fase;1;3;1993-09-07;Cruzeiro;0-2;Corinthians;;https://www.rsssf.org/tablesb/braz93.html
1993;Primeira fase;1;4;1993-09-07;Bahia;1-1;Flamengo;;https://www.rsssf.org/tablesb/braz93.html
1993;Primeira fase;1;5;1993-09-04;Guarani;1-1;Palmeiras;;https://www.rsssf.org/tablesb/braz93.html
1993;Primeira fase;1;6;1993-09-04;Gremio;3-2;Fluminense;;https://www.rsssf.org/tablesb/braz93.html
1993;Primeira fase;1;7;1993-09-05;Vasco;1-0;Atletico-MG;;https://www.rsssf.org/tablesb/braz93.html
1993;Primeira fase;1;8;1993-09-07;Sport;0-2;Santos;;https://www.rsssf.org/tablesb/braz93.html
1993;Primeira fase;1;9;1993-09-04;Nautico;2-1;Santa Cruz;;https://www.rsssf.org/tablesb/braz93.html
1993;Primeira fase;1;10;1993-09-04;Goias;0-3;Vitoria;;https://www.rsssf.org/tablesb/braz93.html
1993;Primeira fase;1;11;1993-09-07;Ceara;3-1;Fortaleza;;https://www.rsssf.org/tablesb/braz93.html
1993;Primeira fase;1;12;1993-09-07;Remo;2-1;Paysandu;;https://www.rsssf.org/tablesb/braz93.html
1993;Primeira fase;1;13;1993-09-04;Portuguesa;5-2;Criciuma;;https://www.rsssf.org/tablesb/braz93.html
1993;Primeira fase;1;14;1993-09-04;Parana;1-3;America-MG;;https://www.rsssf.org/tablesb/braz93.html
1993;Primeira fase;1;15;1993-09-04;Athletico-PR;0-3;Uniao Sao Joao;;https://www.rsssf.org/tablesb/braz93.html
1993;Primeira fase;1;16;1993-09-04;Desportiva;0-1;Coritiba;;https://www.rsssf.org/tablesb/braz93.html
1993;Primeira fase;2;17;1993-09-11;Internacional;1-0;Botafogo-RJ;;https://www.rsssf.org/tablesb/braz93.html
1993;Primeira fase;2;18;1993-09-12;Sao Paulo;1-1;Corinthians;;https://www.rsssf.org/tablesb/braz93.html
1993;Primeira fase;2;19;1993-09-12;Flamengo;1-1;Bragantino;;https://www.rsssf.org/tablesb/braz93.html
1993;Primeira fase;2;20;1993-09-12;Bahia;1-3;Cruzeiro;;https://www.rsssf.org/tablesb/braz93.html
1993;Primeira fase;2;21;1993-09-11;Atletico-MG;1-1;Santos;;https://www.rsssf.org/tablesb/braz93.html
1993;Primeira fase;2;22;1993-09-12;Palmeiras;3-0;Sport;;https://www.rsssf.org/tablesb/braz93.html
1993;Primeira fase;2;23;1993-09-13;Guarani;2-2;Gremio;;https://www.rsssf.org/tablesb/braz93.html
1993;Primeira fase;2;24;1993-10-06;Fluminense;1-3;Vasco;;https://www.rsssf.org/tablesb/braz93.html
1993;Primeira fase;2;25;1993-09-11;Vitoria;0-0;Fortaleza;;https://www.rsssf.org/tablesb/braz93.html
1993;Primeira fase;2;26;1993-09-11;Santa Cruz;0-1;Paysandu;;https://www.rsssf.org/tablesb/braz93.html
1993;Primeira fase;2;27;1993-09-12;Ceara;3-1;Goias;;https://www.rsssf.org/tablesb/braz93.html
1993;Primeira fase;2;28;1993-09-12;Remo;2-1;Nautico;;https://www.rsssf.org/tablesb/braz93.html
1993;Primeira fase;2;29;1993-09-11;Uniao Sao Joao;2-1;Portuguesa;;https://www.rsssf.org/tablesb/braz93.html
1993;Primeira fase;2;30;1993-09-12;Parana;6-1;Desportiva;;https://www.rsssf.org/tablesb/braz93.html
1993;Primeira fase;2;31;1993-09-12;America-MG;0-0;Athletico-PR;;https://www.rsssf.org/tablesb/braz93.html
1993;Primeira fase;2;32;1993-09-12;Criciuma;1-0;Coritiba;;https://www.rsssf.org/tablesb/braz93.html
1993;Primeira fase;3;33;1993-09-18;Sao Paulo;2-0;Bahia;;https://www.rsssf.org/tablesb/braz93.html
1993;Primeira fase;3;34;1993-09-18;Cruzeiro;1-2;Flamengo;;https://www.rsssf.org/tablesb/braz93.html
1993;Primeira fase;3;35;1993-09-20;Botafogo-RJ;0-1;Corinthians;;https://www.rsssf.org/tablesb/braz93.html
1993;Primeira fase;3;36;1993-09-20;Internacional;1-1;Bragantino;;https://www.rsssf.org/tablesb/braz93.html
1993;Primeira fase;3;37;1993-09-18;Santos;0-2;Fluminense;;https://www.rsssf.org/tablesb/braz93.html
1993;Primeira fase;3;38;1993-09-18;Gremio;1-1;Palmeiras;;https://www.rsssf.org/tablesb/braz93.html
1993;Primeira fase;3;39;1993-09-18;Atletico-MG;0-1;Sport;;https://www.rsssf.org/tablesb/braz93.html
1993;Primeira fase;3;40;1993-09-20;Vasco;0-0;Guarani;;https://www.rsssf.org/tablesb/braz93.html
1993;Primeira fase;3;41;1993-09-15;Goias;1-2;Remo;;https://www.rsssf.org/tablesb/braz93.html
1993;Primeira fase;3;42;1993-09-15;Paysandu;1-1;Nautico;;https://www.rsssf.org/tablesb/braz93.html
1993;Primeira fase;3;43;1993-09-15;Fortaleza;1-2;Santa Cruz;;https://www.rsssf.org/tablesb/braz93.html
1993;Primeira fase;3;44;1993-09-15;Ceara;0-3;Vitoria;;https://www.rsssf.org/tablesb/braz93.html
1993;Primeira fase;3;45;1993-09-15;Portuguesa;1-2;America-MG;;https://www.rsssf.org/tablesb/braz93.html
1993;Primeira fase;3;46;1993-09-15;Coritiba;1-1;Uniao Sao Joao;;https://www.rsssf.org/tablesb/braz93.html
1993;Primeira fase;3;47;1993-09-15;Criciuma;2-1;Desportiva;;https://www.rsssf.org/tablesb/braz93.html
1993;Primeira fase;3;48;1993-09-16;Athletico-PR;0-0;Parana;;https://www.rsssf.org/tablesb/braz93.html
1993;Primeira fase;4;49;1993-09-15;Bahia;1-0;Botafogo-RJ;;https://www.rsssf.org/tablesb/braz93.html
1993;Primeira fase;4;50;1993-09-22;Flamengo;2-0;Sao Paulo;;https://www.rsssf.org/tablesb/braz93.html
1993;Primeira fase;4;51;1993-10-06;Bragantino;1-0;Cruzeiro;;https://www.rsssf.org/tablesb/braz93.html
