temporada,rodada,match_id,erro
2006,1,2530298,sem tecnico/formacao
2006,2,2530312,sem tecnico/formacao
2006,3,2530316,sem tecnico/formacao
2006,22,2530962,sem tecnico/formacao
2006,28,2532351,sem tecnico/formacao
2006,29,2532444,sem tecnico/formacao
2006,30,2532942,sem tecnico/formacao
2006,31,2533308,sem tecnico/formacao
2006,32,2533320,sem tecnico/formacao
2006,33,2533323,sem tecnico/formacao
2006,34,2533558,sem tecnico/formacao
2006,35,2533970,sem tecnico/formacao
2006,36,2534013,sem tecnico/formacao
2006,37,2533987,sem tecnico/formacao
2006,37,2533992,sem tecnico/formacao
2006,38,2533999,sem tecnico/formacao
