temporada;fase;rodada;jogo;data;mandante;placar;visitante;observacao;fonte
1997;Primeira fase;1;1;1997-07-05;Gremio;0-0;Sao Paulo;;https://www.rsssf.org/tablesb/braz97.html
1997;Primeira fase;1;2;1997-07-05;Palmeiras;4-1;Fluminense;;https://www.rsssf.org/tablesb/braz97.html
1997;Primeira fase;1;3;1997-07-05;Parana;2-1;Sport;;https://www.rsssf.org/tablesb/braz97.html
1997;Primeira fase;1;4;1997-07-05;Juventude;0-0;Goias;;https://www.rsssf.org/tablesb/braz97.html
1997;Primeira fase;1;5;1997-07-05;Corinthians;1-3;Internacional;;https://www.rsssf.org/tablesb/braz97.html
1997;Primeira fase;1;6;1997-07-05;Portuguesa;1-0;Coritiba;;https://www.rsssf.org/tablesb/braz97.html
1997;Primeira fase;1;7;1997-07-05;Bragantino;3-1;Bahia;;https://www.rsssf.org/tablesb/braz97.html
1997;Primeira fase;1;8;1997-07-05;Flamengo;2-3;Santos;;https://www.rsssf.org/tablesb/braz97.html
1997;Primeira fase;1;9;1997-07-05;Cruzeiro;3-1;Guarani;;https://www.rsssf.org/tablesb/braz97.html
1997;Primeira fase;1;10;1997-07-05;Athletico-PR;2-0;União São João;;https://www.rsssf.org/tablesb/braz97.html
1997;Primeira fase;1;11;1997-07-05;America-RN;1-1;Criciuma;;https://www.rsssf.org/tablesb/braz97.html
1997;Primeira fase;1;12;1997-07-05;Vasco;2-0;Atletico-MG;Nov 4;https://www.rsssf.org/tablesb/braz97.html
1997;Primeira fase;1;13;1997-07-05;Vitoria;3-2;Botafogo-RJ;Oct 7;https://www.rsssf.org/tablesb/braz97.html
1997;Primeira fase;2;14;1997-07-09;Bahia;1-0;Flamengo;;https://www.rsssf.org/tablesb/braz97.html
1997;Primeira fase;2;15;1997-07-09;Criciuma;1-1;Corinthians;;https://www.rsssf.org/tablesb/braz97.html
1997;Primeira fase;2;16;1997-07-09;Fluminense;1-1;Cruzeiro;;https://www.rsssf.org/tablesb/braz97.html
1997;Primeira fase;2;17;1997-07-09;Internacional;2-1;Portuguesa;;https://www.rsssf.org/tablesb/braz97.html
1997;Primeira fase;2;18;1997-07-09;Guarani;3-1;Athletico-PR;;https://www.rsssf.org/tablesb/braz97.html
1997;Primeira fase;2;19;1997-07-09;União São João;0-2;Parana;;https://www.rsssf.org/tablesb/braz97.html
1997;Primeira fase;2;20;1997-07-09;Coritiba;1-1;Vitoria;;https://www.rsssf.org/tablesb/braz97.html
1997;Primeira fase;2;21;1997-07-09;Goias;6-0;Gremio;;https://www.rsssf.org/tablesb/braz97.html
1997;Primeira fase;2;22;1997-07-09;Sport;1-1;America-RN;;https://www.rsssf.org/tablesb/braz97.html
1997;Primeira fase;2;23;1997-07-09;Atletico-MG;0-1;Palmeiras;;https://www.rsssf.org/tablesb/braz97.html
1997;Primeira fase;2;24;1997-07-09;Sao Paulo;1-1;Bragantino;;https://www.rsssf.org/tablesb/braz97.html
1997;Primeira fase;2;25;1997-07-09;Botafogo-RJ;0-2;Juventude;Jul 23;https://www.rsssf.org/tablesb/braz97.html
1997;Primeira fase;3;26;1997-07-12;Goias;0-0;Botafogo-RJ;;https://www.rsssf.org/tablesb/braz97.html
1997;Primeira fase;3;27;1997-07-12;Parana;2-0;Santos;;https://www.rsssf.org/tablesb/braz97.html
1997;Primeira fase;3;28;1997-07-12;Coritiba;2-0;Sport;;https://www.rsssf.org/tablesb/braz97.html
1997;Primeira fase;3;29;1997-07-12;Flamengo;2-0;Criciuma;;https://www.rsssf.org/tablesb/braz97.html
1997;Primeira fase;3;30;1997-07-12;Bragantino;3-1;Fluminense;;https://www.rsssf.org/tablesb/braz97.html
1997;Primeira fase;3;31;1997-07-12;Palmeiras;1-1;Guarani;;https://www.rsssf.org/tablesb/braz97.html
1997;Primeira fase;3;32;1997-07-12;Corinthians;1-0;Juventude;;https://www.rsssf.org/tablesb/braz97.html
1997;Primeira fase;3;33;1997-07-12;Vitoria;4-4;Portuguesa;;https://www.rsssf.org/tablesb/braz97.html
1997;Primeira fase;3;34;1997-07-12;Gremio;1-1;União São João;;https://www.rsssf.org/tablesb/braz97.html
1997;Primeira fase;3;35;1997-07-12;Athletico-PR;4-2;Atletico-MG;;https://www.rsssf.org/tablesb/braz97.html
1997;Primeira fase;3;36;1997-07-12;Cruzeiro;0-0;Internacional;;https://www.rsssf.org/tablesb/braz97.html
1997;Primeira fase;3;37;1997-07-12;America-RN;1-1;Bahia;;https://www.rsssf.org/tablesb/braz97.html
1997;Primeira fase;3;38;1997-07-12;Vasco;2-1;Sao Paulo;Jul 23;https://www.rsssf.org/tablesb/braz97.html
1997;Primeira fase;4;39;1997-07-16;Fluminense;0-0;Vitoria;;https://www.rsssf.org/tablesb/braz97.html
1997;Primeira fase;4;40;1997-07-16;Juventude;2-1;Palmeiras;;https://www.rsssf.org/tablesb/braz97.html
1997;Primeira fase;4;41;1997-07-16;Portuguesa;3-0;Gremio;;https://www.rsssf.org/tablesb/braz97.html
1997;Primeira fase;4;42;1997-07-16;Parana;4-0;Bragantino;;https://www.rsssf.org/tablesb/braz97.html
1997;Primeira fase;4;43;1997-07-16;Bahia;1-1;Coritiba;;https://www.rsssf.org/tablesb/braz97.html
