source,source_match_id,source_url,partida_id,temporada_id,rodada,data,mandante,visitante,gols_mandante,gols_visitante,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante
Transfermarkt,1003471,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1003471,3087,2010,1,2010-05-08,Botafogo-RJ,Santos,3,3,3-5-2,4-4-2,Joel Santana,Dorival Júnior
Transfermarkt,1003472,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1003472,3088,2010,1,2010-05-08,Atletico-GO,Gremio,0,0,4-4-2,4-4-2,Geninho,Silas
Transfermarkt,1003473,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1003473,3089,2010,1,2010-05-08,Palmeiras,Vitoria,1,0,4-4-2,4-4-2,Antônio Carlos Zago,Ricardo Silva
Transfermarkt,1003474,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1003474,3090,2010,1,2010-05-09,Flamengo,Sao Paulo,1,1,4-4-2,4-4-2,Rogério Lourenço,Ricardo Gomes
Transfermarkt,1003475,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1003475,3091,2010,1,2010-05-09,Atletico-MG,Vasco,2,1,4-4-2,4-4-2,Vanderlei Luxemburgo,Gaúcho
Transfermarkt,1003476,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1003476,3092,2010,1,2010-05-09,Internacional,Cruzeiro,1,2,3-5-2,4-4-2,Jorge Fossati,Adilson Batista
Transfermarkt,1003477,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1003477,3093,2010,1,2010-05-09,Corinthians,Athletico-PR,2,1,4-4-2,3-5-2,Mano Menezes,Leandro Niehues
Transfermarkt,1003478,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1003478,3094,2010,1,2010-05-09,Ceara,Fluminense,1,0,4-5-1,3-5-2,Paulo César Gusmão,Muricy Ramalho
Transfermarkt,1003479,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1003479,3095,2010,1,2010-05-09,Guarani,Goias,1,0,4-4-2,4-4-2,Vagner Mancini,Emerson Leão
Transfermarkt,1003480,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1003480,3096,2010,1,2010-05-09,Avai,Gremio Prudente,6,1,3-5-2,4-4-2,Péricles Chamusca,Toninho Cecílio
Transfermarkt,1003482,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1003482,3097,2010,2,2010-05-15,Fluminense,Atletico-GO,1,0,4-4-2,4-4-2,Muricy Ramalho,Geninho
Transfermarkt,1003483,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1003483,3098,2010,2,2010-05-15,Gremio Prudente,Atletico-MG,4,0,4-4-2,3-5-2,Toninho Cecílio,Vanderlei Luxemburgo
Transfermarkt,1003486,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1003486,3099,2010,2,2010-05-15,Vitoria,Flamengo,1,1,,,Ricardo Silva,Rogério Lourenço
Transfermarkt,1003487,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1003487,3100,2010,2,2010-05-16,Santos,Ceara,1,1,4-4-2,4-4-2,Dorival Júnior,Paulo César Gusmão
