temporada;fase;rodada;jogo;data;mandante;placar;visitante;observacao;fonte
1996;Primeira fase;1;1;;Bahia;0-0;Palmeiras;;https://www.rsssf.org/tablesb/braz96.html
1996;Primeira fase;1;2;;Fluminense;1-0;Bragantino;;https://www.rsssf.org/tablesb/braz96.html
1996;Primeira fase;1;3;;Atletico-MG;1-0;Corinthians;;https://www.rsssf.org/tablesb/braz96.html
1996;Primeira fase;1;4;;Sport;0-1;Parana;;https://www.rsssf.org/tablesb/braz96.html
1996;Primeira fase;1;5;;Goias;3-1;Athletico-PR;;https://www.rsssf.org/tablesb/braz96.html
1996;Primeira fase;1;6;;Coritiba;2-0;Juventude;;https://www.rsssf.org/tablesb/braz96.html
1996;Primeira fase;1;7;;Criciuma;1-1;Vitoria;;https://www.rsssf.org/tablesb/braz96.html
1996;Primeira fase;1;8;;Santos;2-0;Portuguesa;Sep 18;https://www.rsssf.org/tablesb/braz96.html
1996;Primeira fase;1;9;;Botafogo-RJ;1-0;Gremio;Sep 25;https://www.rsssf.org/tablesb/braz96.html
1996;Primeira fase;1;10;;Guarani;1-0;Cruzeiro;Sep 26;https://www.rsssf.org/tablesb/braz96.html
1996;Primeira fase;1;11;;Internacional;4-1;Vasco;Oct 2;https://www.rsssf.org/tablesb/braz96.html
1996;Primeira fase;1;12;;Sao Paulo;4-1;Flamengo;Oct 2;https://www.rsssf.org/tablesb/braz96.html
1996;Primeira fase;2;13;;Vasco;1-2;Sport;;https://www.rsssf.org/tablesb/braz96.html
1996;Primeira fase;2;14;;Palmeiras;0-0;Internacional;;https://www.rsssf.org/tablesb/braz96.html
1996;Primeira fase;2;15;;Juventude;1-0;Bahia;;https://www.rsssf.org/tablesb/braz96.html
1996;Primeira fase;2;16;;Vitoria;1-0;Coritiba;;https://www.rsssf.org/tablesb/braz96.html
1996;Primeira fase;2;17;;Parana;0-0;Goias;;https://www.rsssf.org/tablesb/braz96.html
1996;Primeira fase;2;18;;Corinthians;0-0;Criciuma;;https://www.rsssf.org/tablesb/braz96.html
1996;Primeira fase;2;19;;Cruzeiro;2-0;Fluminense;Sep 11;https://www.rsssf.org/tablesb/braz96.html
1996;Primeira fase;2;20;;Bragantino;0-0;Guarani;Sep 18;https://www.rsssf.org/tablesb/braz96.html
1996;Primeira fase;2;21;;Sao Paulo;2-1;Portuguesa;;https://www.rsssf.org/tablesb/braz96.html
1996;Primeira fase;2;22;;Flamengo;2-1;Atletico-MG;;https://www.rsssf.org/tablesb/braz96.html
1996;Primeira fase;2;23;;Athletico-PR;1-0;Botafogo-RJ;Oct 2;https://www.rsssf.org/tablesb/braz96.html
1996;Primeira fase;2;24;;Gremio;3-0;Santos;Nov 12;https://www.rsssf.org/tablesb/braz96.html
1996;Primeira fase;3;25;1996-08-17;Guarani;1-1;Santos;;https://www.rsssf.org/tablesb/braz96.html
