source,source_match_id,source_url,partida_id,temporada_id,rodada,data,mandante,visitante,gols_mandante,gols_visitante,match_method,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante
Transfermarkt,3477669,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477669,1,2003,1,2003-03-29,Guarani,Vasco,4,2,exact,2-6-2,5-4-1,Pepe,Antônio Lopes
Transfermarkt,3477670,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477670,2,2003,1,2003-03-29,Athletico-PR,Gremio,2,0,exact,4-4-2,5-3-2,Vadão,Tite
Transfermarkt,3477671,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477671,3,2003,1,2003-03-30,Flamengo,Coritiba,1,1,exact,4-4-2 duplo 6,5-3-2,Nelsinho Baptista,Paulo Bonamigo
Transfermarkt,3477672,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477672,4,2003,1,2003-03-30,Goias,Paysandu,2,2,exact,3-5-2,4-4-2,Candinho,Darío Pereyra
Transfermarkt,3477673,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477673,5,2003,1,2003-03-30,Internacional,Ponte Preta,1,1,exact,4-5-1,3-5-2,Muricy Ramalho,Abel Braga
Transfermarkt,3477674,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477674,6,2003,1,2003-03-30,Criciuma,Fluminense,2,0,exact,3-6-1,4-5-1,Edson Gaúcho,Renato Gaúcho
Transfermarkt,3477675,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477675,7,2003,1,2003-03-30,Juventude,Sao Paulo,2,2,exact,4-5-1,4-4-2,Marinho Peres,Oswaldo de Oliveira
Transfermarkt,3477676,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477676,8,2003,1,2003-03-30,Fortaleza,Bahia,0,0,exact,4-4-2,5-2-3,Luiz Carlos Cruz,Bobô
Transfermarkt,3477677,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477677,9,2003,1,2003-03-30,Cruzeiro,Sao Caetano,2,2,exact,4-4-2,6-3-1,Vanderlei Luxemburgo,Mário Sérgio
Transfermarkt,3477678,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477678,10,2003,1,2003-03-30,Vitoria,Figueirense,1,1,exact,4-5-1,4-4-2,Joel Santana,Heron Ferreira
Transfermarkt,3477679,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477679,11,2003,1,2003-03-30,Santos,Parana,2,2,exact,4-4-2,4-4-2,Emerson Leão,Cuca
Transfermarkt,3477680,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477680,12,2003,1,2003-03-30,Corinthians,Atletico-MG,0,3,exact,3-5-2,4-4-2,Geninho,Celso Roth
Transfermarkt,3477681,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477681,13,2003,2,2003-04-05,Fluminense,Fortaleza,1,1,exact,4-4-2,4-4-2,Renato Gaúcho,Ferdinando Teixeira
Transfermarkt,3477682,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477682,14,2003,2,2003-04-05,Atletico-MG,Santos,0,0,exact,4-4-2,3-5-2,Celso Roth,Emerson Leão
Transfermarkt,3477683,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477683,15,2003,2,2003-04-05,Coritiba,Internacional,0,1,exact,4-4-2,4-5-1,Paulo Bonamigo,Muricy Ramalho
Transfermarkt,3477684,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477684,16,2003,2,2003-04-05,Gremio,Guarani,3,1,exact,5-3-2,2-6-2,Tite,Pepe
Transfermarkt,3477685,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477685,17,2003,2,2003-04-06,Bahia,Flamengo,1,2,exact,4-4-2,3-4-3,Bobô,Nelsinho Baptista
Transfermarkt,3477686,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477686,18,2003,2,2003-04-06,Figueirense,Corinthians,3,3,exact,3-5-2,3-3-4,Vágner Benazzi,Geninho
Transfermarkt,3477687,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477687,19,2003,2,2003-04-06,Paysandu,Vitoria,1,2,exact,4-4-2,4-5-1,Darío Pereyra,Joel Santana
Transfermarkt,3477688,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477688,20,2003,2,2003-04-06,Ponte Preta,Juventude,1,0,exact,2-5-3,4-5-1,Abel Braga,Cristóvão Borges
Transfermarkt,3477689,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477689,21,2003,2,2003-04-06,Parana,Athletico-PR,3,0,exact,5-4-1,4-4-2,Cuca,Vadão
Transfermarkt,3477690,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477690,22,2003,2,2003-04-06,Sao Caetano,Criciuma,3,2,exact,4-5-1,3-6-1,Mário Sérgio,Edson Gaúcho
Transfermarkt,3477691,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477691,23,2003,2,2003-04-06,Sao Paulo,Cruzeiro,2,4,exact,4-3-3,5-3-2,Oswaldo de Oliveira,Vanderlei Luxemburgo
Transfermarkt,3477692,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477692,24,2003,2,2003-04-06,Vasco,Goias,6,4,exact,4-5-1,3-5-2,Antônio Lopes,Edinho
Transfermarkt,3477694,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477694,37,2003,3,2003-04-12,Internacional,Bahia,2,0,exact,3-6-1,4-3-3,Muricy Ramalho,Bobô
Transfermarkt,3477695,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477695,38,2003,3,2003-04-12,Santos,Figueirense,2,0,exact,3-5-2,3-6-1,Emerson Leão,Vágner Benazzi
Transfermarkt,3477696,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477696,39,2003,3,2003-04-12,Athletico-PR,Atletico-MG,1,2,exact,4-4-2,4-4-2,Vadão,Celso Roth
Transfermarkt,3477697,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477697,40,2003,3,2003-04-12,Corinthians,Paysandu,6,1,exact,4-2-4,5-3-2,Geninho,Darío Pereyra
Transfermarkt,3477698,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477698,41,2003,3,2003-04-13,Vitoria,Vasco,2,1,exact,4-4-2,4-5-1,Joel Santana,Antônio Lopes
Transfermarkt,3477699,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477699,42,2003,3,2003-04-13,Criciuma,Sao Paulo,1,1,exact,3-5-2,3-5-2,Edson Gaúcho,Oswaldo de Oliveira
Transfermarkt,3477700,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477700,43,2003,3,2003-04-13,Fortaleza,Sao Caetano,1,1,exact,5-3-2,6-3-1,Ferdinando Teixeira,Mário Sérgio
Transfermarkt,3477701,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477701,44,2003,3,2003-04-13,Juventude,Coritiba,2,1,exact,4-4-2,4-4-2,Cristóvão Borges,Paulo Bonamigo
Transfermarkt,3477702,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477702,45,2003,3,2003-04-13,Guarani,Parana,2,0,exact,2-6-2,5-4-1,Pepe,Cuca
Transfermarkt,3477703,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477703,46,2003,3,2003-04-13,Goias,Gremio,1,1,exact,3-5-2,5-3-2,Candinho,Tite
Transfermarkt,3477704,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477704,47,2003,3,2003-04-13,Cruzeiro,Ponte Preta,3,0,exact,5-3-2,3-4-3,Vanderlei Luxemburgo,Abel Braga
Transfermarkt,3477705,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477705,48,2003,3,2003-04-13,Flamengo,Fluminense,4,1,exact,5-2-3,4-4-2,Nelsinho Baptista,Renato Gaúcho
Transfermarkt,3477693,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477693,25,2003,4,2003-04-09,Paysandu,Santos,2,1,exact,4-4-2,4-4-2,Darío Pereyra,Emerson Leão
Transfermarkt,3477706,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477706,26,2003,4,2003-04-16,Bahia,Juventude,3,1,exact,4-4-2,4-3-3,,
Transfermarkt,3477707,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477707,27,2003,4,2003-04-16,Gremio,Vitoria,2,1,exact,4-4-2,4-5-1,Tite,Joel Santana
Transfermarkt,3477708,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477708,28,2003,4,2003-04-16,Atletico-MG,Guarani,3,2,exact,4-4-2,4-4-2,Celso Roth,Pepe
Transfermarkt,3477709,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477709,29,2003,4,2003-04-16,Figueirense,Athletico-PR,1,1,exact,3-5-2,5-4-1,Vágner Benazzi,Vadão
Transfermarkt,3477710,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477710,30,2003,4,2003-04-16,Ponte Preta,Criciuma,1,1,exact,2-5-3,5-3-2,Abel Braga,Edson Gaúcho
Transfermarkt,3477711,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477711,31,2003,4,2003-04-16,Sao Caetano,Flamengo,1,1,exact,5-4-1,5-2-3,Mário Sérgio,Nelsinho Baptista
Transfermarkt,3477712,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477712,32,2003,4,2003-04-16,Vasco,Corinthians,2,2,exact,4-4-2,4-2-4,Antônio Lopes,Geninho
Transfermarkt,3477713,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477713,33,2003,4,2003-04-16,Coritiba,Cruzeiro,3,4,exact,3-4-3,5-3-2,Paulo Bonamigo,Vanderlei Luxemburgo
Transfermarkt,3477714,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477714,34,2003,4,2003-04-17,Fluminense,Internacional,3,1,exact,4-4-2,4-5-1,Renato Gaúcho,Muricy Ramalho
Transfermarkt,3477715,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477715,35,2003,4,2003-04-17,Sao Paulo,Fortaleza,3,1,exact,4-4-2,4-5-1,Oswaldo de Oliveira,Ferdinando Teixeira
Transfermarkt,3477716,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477716,36,2003,4,2003-04-17,Parana,Goias,3,1,exact,5-4-1,4-4-2,Cuca,Candinho
Transfermarkt,3477717,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477717,49,2003,5,2003-04-19,Bahia,Atletico-MG,2,4,exact,4-4-2,4-4-2,Bobô,Celso Roth
Transfermarkt,3477718,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477718,50,2003,5,2003-04-19,Sao Caetano,Gremio,1,1,exact,5-3-2,4-4-2,Mário Sérgio,Tite
Transfermarkt,3477719,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477719,51,2003,5,2003-04-19,Flamengo,Santos,0,2,exact,4-3-3,4-4-2,Nelsinho Baptista,Emerson Leão
Transfermarkt,3477720,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477720,52,2003,5,2003-04-20,Sao Paulo,Vasco,3,1,exact,4-4-2,4-4-2,Oswaldo de Oliveira,Antônio Lopes
Transfermarkt,3477721,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477721,53,2003,5,2003-04-20,Internacional,Corinthians,2,1,exact,3-6-1,4-2-4,Muricy Ramalho,Geninho
Transfermarkt,3477722,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477722,54,2003,5,2003-04-20,Criciuma,Guarani,1,0,exact,4-5-1,3-5-2,Edson Gaúcho,Pepe
Transfermarkt,3477723,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477723,55,2003,5,2003-04-20,Juventude,Vitoria,1,1,exact,4-4-2,2-6-2,Cristóvão Borges,Joel Santana
Transfermarkt,3477724,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477724,56,2003,5,2003-04-20,Fortaleza,Athletico-PR,1,0,exact,4-4-2,5-4-1,Ferdinando Teixeira,Vadão
Transfermarkt,3477725,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477725,57,2003,5,2003-04-20,Ponte Preta,Paysandu,4,4,exact,2-5-3,4-4-2,Abel Braga,Darío Pereyra
Transfermarkt,3477726,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477726,58,2003,5,2003-04-20,Cruzeiro,Goias,4,1,exact,4-4-2,4-4-2,Vanderlei Luxemburgo,Edinho
Transfermarkt,3477727,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477727,59,2003,5,2003-04-20,Fluminense,Parana,0,0,exact,4-4-2,5-4-1,Renato Gaúcho,Cuca
Transfermarkt,3477728,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477728,60,2003,5,2003-04-21,Coritiba,Figueirense,1,0,exact,3-5-2,3-4-3,Paulo Bonamigo,Vágner Benazzi
Transfermarkt,3477729,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477729,61,2003,6,2003-04-26,Atletico-MG,Coritiba,1,2,exact,4-4-2,3-5-2,Celso Roth,Paulo Bonamigo
Transfermarkt,3477730,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477730,62,2003,6,2003-04-26,Parana,Bahia,3,1,exact,4-4-2,4-2-4,Cuca,Bobô
Transfermarkt,3477731,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477731,63,2003,6,2003-04-26,Vitoria,Internacional,0,3,exact,4-5-1,3-6-1,Joel Santana,Muricy Ramalho
Transfermarkt,3477732,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477732,64,2003,6,2003-04-26,Guarani,Cruzeiro,1,1,exact,3-5-2,5-3-2,Pepe,Vanderlei Luxemburgo
Transfermarkt,3477733,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477733,65,2003,6,2003-04-27,Corinthians,Flamengo,1,1,exact,4-2-4,4-5-1,Geninho,Nelsinho Baptista
