source,source_match_id,source_url,partida_id,temporada_id,rodada,data,mandante,visitante,gols_mandante,gols_visitante,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante
Transfermarkt,909292,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/909292,2367,2008,5,2008-06-07,Sao Paulo,Atletico-MG,5,1,3-5-2,3-5-2,Muricy Ramalho,Alexandre Gallo
Transfermarkt,909290,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/909290,2368,2008,5,2008-06-07,Flamengo,Figueirense,5,0,4-4-2,3-5-2,Caio Júnior,Guilherme Macuglia
Transfermarkt,909291,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/909291,2369,2008,5,2008-06-07,Ipatinga,Nautico,0,0,4-4-2,4-4-2,Giba,Leandro Machado
Transfermarkt,909294,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/909294,2370,2008,5,2008-06-08,Portuguesa,Internacional,3,1,4-4-2,4-4-2,,
Transfermarkt,909293,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/909293,2371,2008,5,2008-06-08,Gremio,Fluminense,2,1,3-5-2,4-4-2,Celso Roth,Renato Gaúcho
Transfermarkt,909296,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/909296,2372,2008,5,2008-06-08,Sport,Palmeiras,2,0,4-4-2,4-4-2,Nelsinho Baptista,Vanderlei Luxemburgo
Transfermarkt,909295,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/909295,2373,2008,5,2008-06-08,Athletico-PR,Goias,5,0,4-3-3 defensivo,4-4-2,Roberto Fernandes,Vadão
Transfermarkt,909297,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/909297,2374,2008,5,2008-06-08,Botafogo-RJ,Coritiba,2,1,4-4-2,4-4-2,Geninho,Dorival Júnior
Transfermarkt,909299,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/909299,2375,2008,5,2008-06-08,Cruzeiro,Vasco,1,0,4-4-2,4-4-2,Adilson Batista,Antônio Lopes
Transfermarkt,909298,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/909298,2376,2008,5,2008-06-08,Vitoria,Santos,1,0,4-4-2,4-4-2,Vagner Mancini,Cuca
Transfermarkt,909350,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/909350,2425,2008,11,2008-07-12,Fluminense,Vitoria,2,1,4-4-2,4-4-2,Renato Gaúcho,Vagner Mancini
Transfermarkt,909351,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/909351,2426,2008,11,2008-07-12,Goias,Coritiba,2,2,4-4-2,4-4-2,Vadão,Dorival Júnior
Transfermarkt,909372,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/909372,2457,2008,13,2008-07-19,Ipatinga,Portuguesa,4,1,4-4-2,4-4-2,Ricardo Drubscky,Vágner Benazzi
Transfermarkt,909370,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/909370,2458,2008,13,2008-07-19,Fluminense,Figueirense,1,0,4-4-2,4-4-2,Renato Gaúcho,Paulo César Gusmão
Transfermarkt,909371,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/909371,2459,2008,13,2008-07-19,Gremio,Cruzeiro,1,0,4-4-2,4-4-2,Celso Roth,Adilson Batista
