partida_id,source,source_match_id,source_url,temporada_id,rodada,data,mandante,visitante,gols_mandante,gols_visitante,match_method,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante
4607,Transfermarkt,2454178,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2454178,2014,1,2014-04-19,Fluminense,Figueirense,3,0,exact,4-4-2 duplo 6,4-3-3 defensivo,Cristóvão Borges,Vinícius Eutrópio
4608,Transfermarkt,2454179,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2454179,2014,1,2014-04-19,Internacional,Vitoria,1,0,exact,4-2-3-1,4-4-2 duplo 6,Abel Braga,Ney Franco
4609,Transfermarkt,2454180,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2454180,2014,1,2014-04-19,Chapecoense,Coritiba,0,0,exact,4-3-3 ofensivo,4-3-2-1,Gilmar Dal Pozzo,Celso Roth
4610,Transfermarkt,2454182,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2454182,2014,1,2014-04-20,Athletico-PR,Gremio,1,0,exact,4-3-1-2,4-1-4-1,Miguel Ángel Portugal,Enderson Moreira
4611,Transfermarkt,2454181,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2454181,2014,1,2014-04-20,Sao Paulo,Botafogo-RJ,3,0,exact,4-4-2 duplo 6,4-4-2 duplo 6,Muricy Ramalho,Vagner Mancini
4612,Transfermarkt,2454184,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2454184,2014,1,2014-04-20,Bahia,Cruzeiro,1,2,exact,4-3-1-2,4-3-1-2,Marquinhos Santos,Marcelo Oliveira
4613,Transfermarkt,2454183,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2454183,2014,1,2014-04-20,Atletico-MG,Corinthians,0,0,exact,4-3-3 defensivo,4-4-2 duplo 6,Paulo Autuori,Mano Menezes
4614,Transfermarkt,2454185,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2454185,2014,1,2014-04-20,Flamengo,Goias,0,0,exact,4-3-1-2,4-3-1-2,Jayme de Almeida Filho,Ricardo Drubscky
4615,Transfermarkt,2454186,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2454186,2014,1,2014-04-20,Santos,Sport,1,1,exact,4-2-3-1,5-4-1 plano,Oswaldo de Oliveira,Eduardo Baptista
4616,Transfermarkt,2454187,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2454187,2014,1,2014-04-20,Criciuma,Palmeiras,1,2,exact,4-3-1-2,4-2-3-1,Caio Júnior,Gilson Kleina
4617,Transfermarkt,2454188,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2454188,2014,2,2014-04-26,Coritiba,Santos,0,0,exact,4-3-2-1,4-2-3-1,Celso Roth,Oswaldo de Oliveira
4618,Transfermarkt,2454189,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2454189,2014,2,2014-04-26,Palmeiras,Fluminense,0,1,exact,4-4-2 duplo 6,4-4-2 duplo 6,Gilson Kleina,Cristóvão Borges
4619,Transfermarkt,2454190,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2454190,2014,2,2014-04-27,Botafogo-RJ,Internacional,2,2,exact,4-4-2 duplo 6,4-2-3-1,Vagner Mancini,Abel Braga
