source,source_match_id,source_url,partida_id,temporada_id,rodada,data,mandante,visitante,gols_mandante,gols_visitante,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante
Transfermarkt,939069,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939069,2707,2009,1,2009-05-09,Sport,Barueri,1,1,3-5-2,4-4-2,Nelsinho Baptista,Estevam Soares
Transfermarkt,939070,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939070,2708,2009,1,2009-05-09,Palmeiras,Coritiba,2,1,4-4-2,3-5-2,Vanderlei Luxemburgo,Renê Simões
Transfermarkt,939071,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939071,2709,2009,1,2009-05-09,Avai,Atletico-MG,2,2,4-4-2,4-4-2,Silas,Celso Roth
Transfermarkt,939072,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939072,2710,2009,1,2009-05-10,Corinthians,Internacional,0,1,3-5-2,4-4-2,Mano Menezes,Tite
Transfermarkt,939073,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939073,2711,2009,1,2009-05-10,Fluminense,Sao Paulo,1,0,4-4-2,4-4-2,Carlos Alberto Parreira,Muricy Ramalho
Transfermarkt,939075,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939075,2712,2009,1,2009-05-10,Athletico-PR,Vitoria,0,2,3-5-2,3-5-2,Geninho,Paulo César Carpegiani
Transfermarkt,939074,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939074,2713,2009,1,2009-05-10,Cruzeiro,Flamengo,2,0,4-4-2,4-4-2,Adilson Batista,Cuca
Transfermarkt,939076,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939076,2714,2009,1,2009-05-10,Gremio,Santos,1,1,3-5-2,4-4-2,Marcelo Rospide,Vagner Mancini
Transfermarkt,939077,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939077,2715,2009,1,2009-05-10,Santo Andre,Botafogo-RJ,1,1,4-4-2,4-4-2,Sérgio Guedes,Ney Franco
Transfermarkt,939078,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939078,2716,2009,1,2009-05-10,Goias,Nautico,3,3,4-4-2,4-4-2,Hélio dos Anjos,Waldemar Lemos
