temporada;fase;rodada;jogo;data;mandante;placar;visitante;observacao;fonte
1992;Primeira fase;1;1;1992-01-26;Corinthians;1-4;Vasco;;https://www.rsssf.org/tablesb/braz92.html
1992;Primeira fase;1;2;1992-01-26;Botafogo-RJ;3-1;Athletico-PR;;https://www.rsssf.org/tablesb/braz92.html
1992;Primeira fase;1;3;1992-01-26;Cruzeiro;2-0;Guarani;;https://www.rsssf.org/tablesb/braz92.html
1992;Primeira fase;1;4;1992-01-26;Nautico;0-0;Sport;;https://www.rsssf.org/tablesb/braz92.html
1992;Primeira fase;1;5;1992-01-26;PAYSANDU;2-1;Goias;;https://www.rsssf.org/tablesb/braz92.html
1992;Primeira fase;1;6;1992-01-27;Portuguesa;2-2;Fluminense;;https://www.rsssf.org/tablesb/braz92.html
1992;Primeira fase;1;7;1992-01-27;Internacional;0-1;Bragantino;;https://www.rsssf.org/tablesb/braz92.html
1992;Primeira fase;1;8;1992-01-29;Palmeiras;1-1;Atletico-MG;;https://www.rsssf.org/tablesb/braz92.html
1992;Primeira fase;1;9;1992-01-29;Santos;1-1;Sao Paulo;;https://www.rsssf.org/tablesb/braz92.html
1992;Primeira fase;1;10;1992-01-29;Bahia;1-1;Flamengo;;https://www.rsssf.org/tablesb/braz92.html
1992;Primeira fase;2;11;1992-02-01;Internacional;4-1;Palmeiras;;https://www.rsssf.org/tablesb/braz92.html
1992;Primeira fase;2;12;1992-02-01;Atletico-MG;0-2;Botafogo-RJ;;https://www.rsssf.org/tablesb/braz92.html
1992;Primeira fase;2;13;1992-02-02;Corinthians;1-1;Santos;;https://www.rsssf.org/tablesb/braz92.html
1992;Primeira fase;2;14;1992-02-02;Bragantino;0-0;Sao Paulo;;https://www.rsssf.org/tablesb/braz92.html
1992;Primeira fase;2;15;1992-02-02;Fluminense;1-0;PAYSANDU;;https://www.rsssf.org/tablesb/braz92.html
1992;Primeira fase;2;16;1992-02-02;Sport;0-0;Cruzeiro;;https://www.rsssf.org/tablesb/braz92.html
1992;Primeira fase;2;17;1992-02-02;Athletico-PR;0-0;Nautico;;https://www.rsssf.org/tablesb/braz92.html
1992;Primeira fase;2;18;1992-02-02;Guarani;1-3;Flamengo;;https://www.rsssf.org/tablesb/braz92.html
1992;Primeira fase;2;19;1992-02-02;Bahia;2-1;Portuguesa;;https://www.rsssf.org/tablesb/braz92.html
1992;Primeira fase;2;20;1992-02-02;Vasco;1-1;Goias;;https://www.rsssf.org/tablesb/braz92.html
1992;Primeira fase;3;21;1992-02-08;Palmeiras;3-0;Fluminense;;https://www.rsssf.org/tablesb/braz92.html
1992;Primeira fase;3;22;1992-02-08;Goias;1-0;Santos;;https://www.rsssf.org/tablesb/braz92.html
1992;Primeira fase;3;23;1992-02-09;Botafogo-RJ;2-2;Flamengo;;https://www.rsssf.org/tablesb/braz92.html
1992;Primeira fase;3;24;1992-02-09;Sao Paulo;2-1;Bahia;;https://www.rsssf.org/tablesb/braz92.html
1992;Primeira fase;3;25;1992-02-09;Portuguesa;1-1;Internacional;;https://www.rsssf.org/tablesb/braz92.html
1992;Primeira fase;3;26;1992-02-09;Bragantino;0-0;Sport;;https://www.rsssf.org/tablesb/braz92.html
1992;Primeira fase;3;27;1992-02-09;PAYSANDU;1-0;Cruzeiro;;https://www.rsssf.org/tablesb/braz92.html
