source,source_match_id,source_url,partida_id,temporada_id,rodada,data,mandante,visitante,gols_mandante,gols_visitante,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante
Transfermarkt,2206475,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2206475,3927,2012,9,2012-07-14,Corinthians,Nautico,2,1,4-4-2 duplo 6,4-4-2 duplo 6,Tite,Alexandre Gallo
Transfermarkt,2206474,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2206474,3928,2012,9,2012-07-14,Figueirense,Atletico-MG,3,4,4-3-3 defensivo,4-2-3-1,Argel Fuchs,Cuca
Transfermarkt,2206480,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2206480,3929,2012,9,2012-07-14,Ponte Preta,Coritiba,4,1,4-1-3-2,4-4-2 duplo 6,Gilson Kleina,Marcelo Oliveira
Transfermarkt,2206469,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2206469,3930,2012,9,2012-07-15,Botafogo-RJ,Fluminense,1,1,4-4-2 duplo 6,4-4-2 duplo 6,Oswaldo de Oliveira,Abel Braga
Transfermarkt,2206477,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2206477,3931,2012,9,2012-07-15,Internacional,Santos,0,0,4-4-2 duplo 6,4-3-1-2,Dorival Júnior,Muricy Ramalho
Transfermarkt,2206476,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2206476,3932,2012,9,2012-07-15,Bahia,Flamengo,1,2,4-2-3-1,4-1-3-2,Falcão,Joel Santana
Transfermarkt,2206482,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2206482,3933,2012,9,2012-07-15,Cruzeiro,Gremio,1,3,4-4-2 losango,4-4-2 duplo 6,Celso Roth,Vanderlei Luxemburgo
Transfermarkt,2206478,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2206478,3934,2012,9,2012-07-15,Sport,Portuguesa,2,1,4-3-1-2,3-4-2-1,Vagner Mancini,Geninho
Transfermarkt,2206479,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2206479,3935,2012,9,2012-07-15,Vasco,Atletico-GO,1,0,4-1-3-2,4-4-2 duplo 6,Cristóvão Borges,Jairo
Transfermarkt,2206481,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2206481,3936,2012,9,2012-07-15,Palmeiras,Sao Paulo,1,1,4-3-1-2,4-3-1-2,Luiz Felipe Scolari,Ney Franco
Transfermarkt,2206500,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2206500,3977,2012,14,2012-08-04,Palmeiras,Internacional,0,1,4-3-1-2,4-3-1-2,Luiz Felipe Scolari,Fernandão
Transfermarkt,2206508,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2206508,3978,2012,14,2012-08-04,Atletico-GO,Botafogo-RJ,1,2,4-3-3 ofensivo,4-2-3-1,Jairo,Oswaldo de Oliveira
Transfermarkt,2206491,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2206491,3979,2012,14,2012-08-04,Portuguesa,Figueirense,2,0,4-4-2 duplo 6,4-3-3 defensivo,Geninho,Hélio dos Anjos
Transfermarkt,2206497,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2206497,3980,2012,14,2012-08-05,Vasco,Corinthians,0,0,4-4-2 duplo 6,4-4-2 duplo 6,Cristóvão Borges,Tite
Transfermarkt,2206489,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2206489,3981,2012,14,2012-08-05,Gremio,Bahia,3,1,4-4-2 duplo 6,4-3-1-2,Vanderlei Luxemburgo,Caio Júnior
Transfermarkt,2206494,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2206494,3982,2012,14,2012-08-05,Coritiba,Fluminense,0,2,4-4-2 duplo 6,4-4-2 duplo 6,Marcelo Oliveira,Abel Braga
Transfermarkt,2206498,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2206498,3983,2012,14,2012-08-05,Sao Paulo,Sport,1,0,3-5-2,4-4-2 duplo 6,Ney Franco,Vagner Mancini
Transfermarkt,2206487,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2206487,3984,2012,14,2012-08-05,Cruzeiro,Ponte Preta,1,2,4-3-1-2,4-3-1-2,Celso Roth,Gilson Kleina
Transfermarkt,2206516,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2206516,3985,2012,14,2012-08-05,Nautico,Santos,3,0,4-4-2 duplo 6,4-1-3-2,Alexandre Gallo,Muricy Ramalho
Transfermarkt,2206495,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2206495,3986,2012,14,2012-09-26,Flamengo,Atletico-MG,2,1,4-2-3-1,4-2-3-1,Dorival Júnior,Cuca
Transfermarkt,2206684,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2206684,4217,2012,38,2012-12-01,Santos,Palmeiras,3,1,4-4-2 duplo 6,4-3-3 defensivo,Muricy Ramalho,Gilson Kleina
Transfermarkt,2206676,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2206676,4218,2012,38,2012-12-01,Flamengo,Botafogo-RJ,2,2,4-3-3 defensivo,4-2-3-1,Dorival Júnior,Oswaldo de Oliveira
Transfermarkt,2206678,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2206678,4219,2012,38,2012-12-02,Fluminense,Vasco,1,2,4-3-1-2,4-4-2 duplo 6,Abel Braga,Gaúcho
Transfermarkt,2206690,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2206690,4220,2012,38,2012-12-02,Gremio,Internacional,0,0,4-3-2-1,4-3-2-1,Vanderlei Luxemburgo,Osmar Loss
Transfermarkt,2206689,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2206689,4221,2012,38,2012-12-02,Atletico-MG,Cruzeiro,3,2,4-2-3-1,4-2-3-1,Cuca,Celso Roth
