temporada;fase;rodada;jogo;data;mandante;placar;visitante;observacao;fonte
1991;Primeira fase;1;1;1991-02-02;Santos;0-0;Vasco;;https://www.rsssf.org/tablesb/braz91.html
1991;Primeira fase;1;2;1991-02-02;Atletico-MG;0-3;Sao Paulo;;https://www.rsssf.org/tablesb/braz91.html
1991;Primeira fase;1;3;1991-02-03;Corinthians;1-1;Vitoria;;https://www.rsssf.org/tablesb/braz91.html
1991;Primeira fase;1;4;1991-02-03;Portuguesa;1-0;Sport;;https://www.rsssf.org/tablesb/braz91.html
1991;Primeira fase;1;5;1991-02-03;Fluminense;4-2;Palmeiras;;https://www.rsssf.org/tablesb/braz91.html
1991;Primeira fase;1;6;1991-02-03;Botafogo-RJ;2-0;Nautico;;https://www.rsssf.org/tablesb/braz91.html
1991;Primeira fase;1;7;1991-02-03;Bragantino;1-1;Bahia;;https://www.rsssf.org/tablesb/braz91.html
1991;Primeira fase;1;8;1991-02-03;Athletico-PR;3-0;Flamengo;;https://www.rsssf.org/tablesb/braz91.html
1991;Primeira fase;1;9;1991-02-03;Cruzeiro;0-0;Internacional;;https://www.rsssf.org/tablesb/braz91.html
1991;Primeira fase;1;10;1991-02-03;Gremio;3-2;Goias;;https://www.rsssf.org/tablesb/braz91.html
1991;Primeira fase;2;11;1991-02-06;Flamengo;1-0;Sao Paulo;;https://www.rsssf.org/tablesb/braz91.html
1991;Primeira fase;2;12;1991-02-06;Bragantino;2-0;Corinthians;;https://www.rsssf.org/tablesb/braz91.html
1991;Primeira fase;2;13;1991-02-06;Botafogo-RJ;2-0;Portuguesa;;https://www.rsssf.org/tablesb/braz91.html
1991;Primeira fase;2;14;1991-02-06;Cruzeiro;3-0;Vasco;;https://www.rsssf.org/tablesb/braz91.html
1991;Primeira fase;2;15;1991-02-06;Bahia;2-2;Atletico-MG;;https://www.rsssf.org/tablesb/braz91.html
1991;Primeira fase;2;16;1991-02-06;Nautico;2-0;Santos;;https://www.rsssf.org/tablesb/braz91.html
1991;Primeira fase;2;17;1991-02-06;Sport;1-2;Palmeiras;;https://www.rsssf.org/tablesb/braz91.html
1991;Primeira fase;2;18;1991-02-06;Internacional;2-1;Vitoria;;https://www.rsssf.org/tablesb/braz91.html
1991;Primeira fase;2;19;1991-02-07;Fluminense;3-2;Goias;;https://www.rsssf.org/tablesb/braz91.html
1991;Primeira fase;2;20;1991-02-07;Athletico-PR;4-2;Gremio;;https://www.rsssf.org/tablesb/braz91.html
1991;Primeira fase;3;21;1991-02-16;Corinthians;2-1;Botafogo-RJ;;https://www.rsssf.org/tablesb/braz91.html
1991;Primeira fase;3;22;1991-02-16;Vasco;2-2;Bragantino;;https://www.rsssf.org/tablesb/braz91.html
1991;Primeira fase;3;23;1991-02-17;Sao Paulo;1-2;Santos;;https://www.rsssf.org/tablesb/braz91.html
1991;Primeira fase;3;24;1991-02-17;Palmeiras;0-2;Portuguesa;;https://www.rsssf.org/tablesb/braz91.html
1991;Primeira fase;3;25;1991-02-17;Fluminense;0-2;Athletico-PR;;https://www.rsssf.org/tablesb/braz91.html
1991;Primeira fase;3;26;1991-02-17;Goias;5-1;Flamengo;;https://www.rsssf.org/tablesb/braz91.html
1991;Primeira fase;3;27;1991-02-17;Cruzeiro;2-2;Atletico-MG;;https://www.rsssf.org/tablesb/braz91.html
