status,partida_id,temporada,rodada,data_banco,data_ogol,mandante,visitante,placar,match_method,source_url,tecnico_mandante,tecnico_visitante
ok,1571,2006,1,2006-04-16,2006-04-16,Botafogo-RJ,Fortaleza,1-0,exact,https://www.ogol.com.br/jogo/2006-04-16-botafogo-fortaleza/218706,Carlos Roberto,Toninho Cecílio
ok,1585,2006,2,2006-04-23,2006-04-23,Parana,Botafogo-RJ,0-0,exact,https://www.ogol.com.br/jogo/2006-04-23-parana-botafogo/218721,Caio Júnior,Carlos Roberto
ok,1588,2006,3,2006-04-29,2006-04-29,Botafogo-RJ,Athletico-PR,0-4,exact,https://www.ogol.com.br/jogo/2006-04-29-botafogo-atletico-paranaense/218723,Carlos Roberto,Givanildo Oliveira
ok,1781,2006,22,2006-09-03,2006-09-03,Sao Caetano,Fortaleza,0-0,exact,https://www.ogol.com.br/jogo/2006-09-03-sao-caetano-fortaleza/218921,Dino Camargo,Hélio dos Anjos
ok,1837,2006,28,2006-10-07,2006-10-07,Ponte Preta,Juventude,3-1,exact,https://www.ogol.com.br/jogo/2006-10-07-ponte-preta-juventude/218978,Wanderley Paiva,Ivo Wortmann
ok,1854,2006,29,2006-10-15,2006-10-15,Figueirense,Ponte Preta,2-1,exact,https://www.ogol.com.br/jogo/2006-10-15-figueirense-ponte-preta/218985,Waldemar Lemos,Wanderley Paiva
ok,1860,2006,30,2006-10-21,2006-10-21,Ponte Preta,Internacional,0-2,exact,https://www.ogol.com.br/jogo/2006-10-21-ponte-preta-internacional/218999,Wanderley Paiva,Abel Braga
ok,1874,2006,31,2006-10-28,2006-10-28,Ponte Preta,Botafogo-RJ,1-2,exact,https://www.ogol.com.br/jogo/2006-10-28-ponte-preta-botafogo/219008,Wanderley Paiva,Cuca
ok,1885,2006,32,2006-11-02,2006-11-02,Sao Paulo,Ponte Preta,1-1,exact,https://www.ogol.com.br/jogo/2006-11-02-sao-paulo-ponte-preta/219020,Muricy Ramalho,Wanderley Paiva
ok,1891,2006,33,2006-11-05,2006-11-05,Ponte Preta,Sao Caetano,1-2,exact,https://www.ogol.com.br/jogo/2006-11-05-ponte-preta-sao-caetano/219030,Wanderley Paiva,Dorival Júnior
ok,1904,2006,34,2006-11-09,2006-11-09,Fluminense,Ponte Preta,0-0,exact,https://www.ogol.com.br/jogo/2006-11-09-fluminense-ponte-preta/219033,PC Gusmão,Wanderley Paiva
ok,1912,2006,35,2006-11-12,2006-11-12,Ponte Preta,Flamengo,3-0,exact,https://www.ogol.com.br/jogo/2006-11-12-ponte-preta-flamengo/219048,Wanderley Paiva,Ney Franco
ok,1925,2006,36,2006-11-19,2006-11-19,Fortaleza,Ponte Preta,1-0,exact,https://www.ogol.com.br/jogo/2006-11-19-fortaleza-ponte-preta/219057,Daniel Frasson,Wanderley Paiva
ok,1928,2006,37,2006-11-26,2006-11-26,Juventude,Fortaleza,2-2,exact,https://www.ogol.com.br/jogo/2006-11-26-juventude-fortaleza/219066,Ivo Wortmann,Daniel Frasson
ok,1933,2006,37,2006-11-26,2006-11-26,Goias,Ponte Preta,3-0,exact,https://www.ogol.com.br/jogo/2006-11-26-goias-ponte-preta/219064,Geninho,Wanderley Paiva
ok,1942,2006,38,2006-12-03,2006-12-03,Cruzeiro,Botafogo-RJ,3-1,exact,https://www.ogol.com.br/jogo/2006-12-03-cruzeiro-botafogo/219073,Oswaldo de Oliveira,Cuca
ok,1943,2006,38,2006-12-03,2006-12-03,Ponte Preta,Athletico-PR,1-1,exact,https://www.ogol.com.br/jogo/2006-12-03-ponte-preta-atletico-paranaense/219080,Wanderley Paiva,Vadão
