temporada;fase;rodada;jogo;data;mandante;placar;visitante;observacao;fonte
1989;Primeira fase;1;1;1989-09-06;Botafogo-RJ;2-1;Internacional;;https://www.rsssf.org/tablesb/braz89.html
1989;Primeira fase;1;2;1989-09-07;Athletico-PR;0-0;Sao Paulo;;https://www.rsssf.org/tablesb/braz89.html
1989;Primeira fase;1;3;1989-09-07;Corinthians;0-2;Inter de Limeira;;https://www.rsssf.org/tablesb/braz89.html
1989;Primeira fase;1;4;1989-09-07;Flamengo;0-0;Atletico-MG;;https://www.rsssf.org/tablesb/braz89.html
1989;Primeira fase;1;5;1989-09-07;Vitoria;0-1;Guarani;;https://www.rsssf.org/tablesb/braz89.html
1989;Primeira fase;2;6;1989-09-09;Guarani;1-3;Corinthians;;https://www.rsssf.org/tablesb/braz89.html
1989;Primeira fase;2;7;1989-09-10;Athletico-PR;1-1;Flamengo;;https://www.rsssf.org/tablesb/braz89.html
1989;Primeira fase;2;8;1989-09-10;Inter de Limeira;3-2;Nautico;;https://www.rsssf.org/tablesb/braz89.html
1989;Primeira fase;2;9;1989-09-10;Internacional;1-0;Atletico-MG;;https://www.rsssf.org/tablesb/braz89.html
1989;Primeira fase;2;10;1989-09-10;Sao Paulo;0-0;Vitoria;;https://www.rsssf.org/tablesb/braz89.html
1989;Primeira fase;3;11;1989-09-16;Nautico;3-3;Sao Paulo;;https://www.rsssf.org/tablesb/braz89.html
1989;Primeira fase;3;12;1989-09-16;Botafogo-RJ;3-0;Athletico-PR;;https://www.rsssf.org/tablesb/braz89.html
1989;Primeira fase;3;13;1989-09-16;Vitoria;0-2;Internacional;;https://www.rsssf.org/tablesb/braz89.html
1989;Primeira fase;3;14;1989-09-17;Guarani;0-0;Inter de Limeira;;https://www.rsssf.org/tablesb/braz89.html
1989;Primeira fase;3;15;1989-09-17;Flamengo;0-1;Corinthians;;https://www.rsssf.org/tablesb/braz89.html
1989;Primeira fase;4;16;1989-09-20;Vitoria;2-1;Inter de Limeira;;https://www.rsssf.org/tablesb/braz89.html
1989;Primeira fase;4;17;1989-09-20;Flamengo;1-0;Botafogo-RJ;;https://www.rsssf.org/tablesb/braz89.html
1989;Primeira fase;4;18;1989-09-20;Atletico-MG;4-1;Sao Paulo;;https://www.rsssf.org/tablesb/braz89.html
1989;Primeira fase;4;19;1989-09-20;Guarani;0-1;Athletico-PR;;https://www.rsssf.org/tablesb/braz89.html
1989;Primeira fase;4;20;1989-09-20;Nautico;1-0;Corinthians;;https://www.rsssf.org/tablesb/braz89.html
1989;Primeira fase;5;21;1989-09-23;Atletico-MG;2-0;Botafogo-RJ;;https://www.rsssf.org/tablesb/braz89.html
1989;Primeira fase;5;22;1989-09-24;Corinthians;2-1;Sao Paulo;;https://www.rsssf.org/tablesb/braz89.html
1989;Primeira fase;5;23;1989-09-24;Vitoria;0-0;Flamengo;;https://www.rsssf.org/tablesb/braz89.html
1989;Primeira fase;5;24;1989-09-24;Nautico;1-2;Guarani;;https://www.rsssf.org/tablesb/braz89.html
1989;Primeira fase;5;25;1989-09-24;Internacional;0-0;Athletico-PR;;https://www.rsssf.org/tablesb/braz89.html
1989;Primeira fase;6;26;1989-09-30;Sao Paulo;2-1;Internacional;;https://www.rsssf.org/tablesb/braz89.html
1989;Primeira fase;6;27;1989-10-01;Corinthians;2-0;Vitoria;;https://www.rsssf.org/tablesb/braz89.html
1989;Primeira fase;6;28;1989-10-01;Guarani;2-0;Botafogo-RJ;;https://www.rsssf.org/tablesb/braz89.html
1989;Primeira fase;6;29;1989-10-01;Inter de Limeira;0-2;Atletico-MG;;https://www.rsssf.org/tablesb/braz89.html
1989;Primeira fase;6;30;1989-10-01;Athletico-PR;3-0;Nautico;;https://www.rsssf.org/tablesb/braz89.html
1989;Primeira fase;7;31;1989-09-28;Flamengo;2-1;Guarani;;https://www.rsssf.org/tablesb/braz89.html
1989;Primeira fase;7;32;1989-10-04;Atletico-MG;1-1;Corinthians;;https://www.rsssf.org/tablesb/braz89.html
1989;Primeira fase;7;33;1989-10-04;Vitoria;2-1;Athletico-PR;;https://www.rsssf.org/tablesb/braz89.html
1989;Primeira fase;7;34;1989-10-04;Botafogo-RJ;1-1;Nautico;;https://www.rsssf.org/tablesb/braz89.html
1989;Primeira fase;7;35;1989-10-04;Internacional;0-0;Inter de Limeira;;https://www.rsssf.org/tablesb/braz89.html
1989;Primeira fase;8;36;1989-10-07;Sao Paulo;1-1;Botafogo-RJ;;https://www.rsssf.org/tablesb/braz89.html
