temporada;fase;rodada;jogo;data;mandante;placar;visitante;observacao;fonte
1990;Primeira fase;1;1;1990-09-05;Flamengo;1-2;Bragantino;;https://www.rsssf.org/tablesb/braz90.html
1990;Primeira fase;1;2;1990-08-18;Inter de Limeira;2-1;Bahia;;https://www.rsssf.org/tablesb/braz90.html
1990;Primeira fase;1;3;1990-08-18;Nautico;1-0;Santos;;https://www.rsssf.org/tablesb/braz90.html
1990;Primeira fase;1;4;1990-08-18;Sao Paulo;1-2;Atletico-MG;;https://www.rsssf.org/tablesb/braz90.html
1990;Primeira fase;1;5;1990-08-19;Sao Jose-SP;1-1;Goias;;https://www.rsssf.org/tablesb/braz90.html
1990;Primeira fase;1;6;1990-08-19;Cruzeiro;1-0;Botafogo-RJ;;https://www.rsssf.org/tablesb/braz90.html
1990;Primeira fase;1;7;1990-08-19;Fluminense;3-0;Portuguesa;;https://www.rsssf.org/tablesb/braz90.html
1990;Primeira fase;1;8;1990-08-19;Gremio;3-0;Corinthians;;https://www.rsssf.org/tablesb/braz90.html
1990;Primeira fase;1;9;1990-09-26;Vitoria;2-0;Vasco;;https://www.rsssf.org/tablesb/braz90.html
1990;Primeira fase;1;10;1990-08-30;Palmeiras;1-0;Internacional;;https://www.rsssf.org/tablesb/braz90.html
1990;Primeira fase;2;11;1990-08-25;Vasco;0-1;Inter de Limeira;;https://www.rsssf.org/tablesb/braz90.html
1990;Primeira fase;2;12;1990-08-25;Corinthians;0-1;Cruzeiro;;https://www.rsssf.org/tablesb/braz90.html
1990;Primeira fase;2;13;1990-08-25;Portuguesa;0-0;Vitoria;;https://www.rsssf.org/tablesb/braz90.html
1990;Primeira fase;2;14;1990-08-26;Botafogo-RJ;0-1;Sao Jose-SP;;https://www.rsssf.org/tablesb/braz90.html
1990;Primeira fase;2;15;1990-08-26;Goias;1-0;Nautico;;https://www.rsssf.org/tablesb/braz90.html
1990;Primeira fase;2;16;1990-08-26;Internacional;0-1;Gremio;;https://www.rsssf.org/tablesb/braz90.html
1990;Primeira fase;2;17;1990-08-26;Bragantino;1-1;Palmeiras;;https://www.rsssf.org/tablesb/braz90.html
1990;Primeira fase;2;18;1990-08-29;Bahia;1-0;Flamengo;;https://www.rsssf.org/tablesb/braz90.html
1990;Primeira fase;2;19;1990-08-29;Atletico-MG;4-2;Fluminense;;https://www.rsssf.org/tablesb/braz90.html
1990;Primeira fase;2;20;1990-08-29;Santos;1-0;Sao Paulo;;https://www.rsssf.org/tablesb/braz90.html
1990;Primeira fase;3;21;1990-09-01;Cruzeiro;1-0;Portuguesa;;https://www.rsssf.org/tablesb/braz90.html
1990;Primeira fase;3;22;1990-09-01;Flamengo;2-2;Goias;;https://www.rsssf.org/tablesb/braz90.html
1990;Primeira fase;3;23;1990-09-02;Vitoria;0-0;Corinthians;;https://www.rsssf.org/tablesb/braz90.html
1990;Primeira fase;3;24;1990-09-02;Sao Paulo;1-0;Bragantino;;https://www.rsssf.org/tablesb/braz90.html
1990;Primeira fase;3;25;1990-09-02;Fluminense;1-1;Internacional;;https://www.rsssf.org/tablesb/braz90.html
1990;Primeira fase;3;26;1990-09-02;Nautico;0-0;Bahia;;https://www.rsssf.org/tablesb/braz90.html
1990;Primeira fase;3;27;1990-09-02;Inter de Limeira;1-0;Botafogo-RJ;;https://www.rsssf.org/tablesb/braz90.html
1990;Primeira fase;3;28;1990-09-02;Palmeiras;0-0;Santos;;https://www.rsssf.org/tablesb/braz90.html
1990;Primeira fase;3;29;1990-09-02;Gremio;0-0;Atletico-MG;;https://www.rsssf.org/tablesb/braz90.html
1990;Primeira fase;3;30;1990-09-05;Sao Jose-SP;0-0;Vasco;;https://www.rsssf.org/tablesb/braz90.html
1990;Primeira fase;4;31;1990-09-07;Goias;2-2;Cruzeiro;;https://www.rsssf.org/tablesb/braz90.html
1990;Primeira fase;4;32;1990-09-08;Botafogo-RJ;1-1;Gremio;;https://www.rsssf.org/tablesb/braz90.html
1990;Primeira fase;4;33;1990-09-08;Santos;2-0;Sao Jose-SP;;https://www.rsssf.org/tablesb/braz90.html
1990;Primeira fase;4;34;1990-09-09;Vasco;0-0;Fluminense;;https://www.rsssf.org/tablesb/braz90.html
1990;Primeira fase;4;35;1990-09-09;Portuguesa;1-2;Sao Paulo;;https://www.rsssf.org/tablesb/braz90.html
1990;Primeira fase;4;36;1990-09-09;Corinthians;2-1;Palmeiras;;https://www.rsssf.org/tablesb/braz90.html
1990;Primeira fase;4;37;1990-09-09;Internacional;3-3;Flamengo;;https://www.rsssf.org/tablesb/braz90.html
1990;Primeira fase;4;38;1990-09-09;Bragantino;2-1;Inter de Limeira;;https://www.rsssf.org/tablesb/braz90.html
1990;Primeira fase;4;39;1990-09-09;Atletico-MG;1-0;Nautico;;https://www.rsssf.org/tablesb/braz90.html
1990;Primeira fase;4;40;1990-09-09;Bahia;0-1;Vitoria;;https://www.rsssf.org/tablesb/braz90.html
1990;Primeira fase;5;41;1990-09-15;Fluminense;5-2;Santos;;https://www.rsssf.org/tablesb/braz90.html
1990;Primeira fase;5;42;1990-09-16;Sao Jose-SP;1-2;Corinthians;;https://www.rsssf.org/tablesb/braz90.html
1990;Primeira fase;5;43;1990-09-16;Sao Paulo;0-1;Goias;;https://www.rsssf.org/tablesb/braz90.html
1990;Primeira fase;5;44;1990-09-16;Flamengo;1-0;Vasco;;https://www.rsssf.org/tablesb/braz90.html
1990;Primeira fase;5;45;1990-09-16;Gremio;0-1;Bragantino;;https://www.rsssf.org/tablesb/braz90.html
1990;Primeira fase;5;46;1990-09-16;Vitoria;1-1;Atletico-MG;;https://www.rsssf.org/tablesb/braz90.html
1990;Primeira fase;5;47;1990-09-16;Nautico;2-1;Botafogo-RJ;;https://www.rsssf.org/tablesb/braz90.html
1990;Primeira fase;5;48;1990-09-16;Cruzeiro;2-0;Internacional;;https://www.rsssf.org/tablesb/braz90.html
1990;Primeira fase;5;49;1990-09-16;Inter de Limeira;1-1;Portuguesa;;https://www.rsssf.org/tablesb/braz90.html
1990;Primeira fase;5;50;1990-09-16;Palmeiras;1-2;Bahia;;https://www.rsssf.org/tablesb/braz90.html
1990;Primeira fase;6;51;1990-09-19;Portuguesa;2-2;Gremio;;https://www.rsssf.org/tablesb/braz90.html
1990;Primeira fase;6;52;1990-09-19;Bragantino;0-1;Nautico;;https://www.rsssf.org/tablesb/braz90.html
1990;Primeira fase;6;53;1990-09-19;Corinthians;1-0;Fluminense;;https://www.rsssf.org/tablesb/braz90.html
1990;Primeira fase;6;54;1990-09-19;Botafogo-RJ;0-0;Vitoria;;https://www.rsssf.org/tablesb/braz90.html
1990;Primeira fase;6;55;1990-09-19;Vasco;1-1;Cruzeiro;;https://www.rsssf.org/tablesb/braz90.html
1990;Primeira fase;6;56;1990-09-19;Bahia;3-0;Sao Jose-SP;;https://www.rsssf.org/tablesb/braz90.html
1990;Primeira fase;6;57;1990-09-19;Goias;3-0;Inter de Limeira;;https://www.rsssf.org/tablesb/braz90.html
1990;Primeira fase;6;58;1990-09-19;Atletico-MG;1-0;Palmeiras;;https://www.rsssf.org/tablesb/braz90.html
1990;Primeira fase;6;59;1990-09-19;Santos;0-0;Flamengo;;https://www.rsssf.org/tablesb/braz90.html
