temporada,rodada,match_id,erro
2008,11,909352,"partida nao encontrada: ('2008-07-13', 'Santos', 'Botafogo-RJ', 2, 2)"
2008,11,909355,"partida nao encontrada: ('2008-07-13', 'Ipatinga', 'Figueirense', 0, 1)"
2008,11,909356,"partida nao encontrada: ('2008-07-13', 'Cruzeiro', 'Atletico-MG', 2, 1)"
2008,11,909353,"partida nao encontrada: ('2008-07-13', 'Athletico-PR', 'Internacional', 1, 1)"
2008,11,909357,"partida nao encontrada: ('2008-07-13', 'Sao Paulo', 'Palmeiras', 2, 1)"
2008,11,909354,"partida nao encontrada: ('2008-07-13', 'Flamengo', 'Vasco', 3, 1)"
2008,11,909358,"partida nao encontrada: ('2008-07-13', 'Gremio', 'Portuguesa', 2, 1)"
2008,11,909359,"partida nao encontrada: ('2008-07-13', 'Nautico', 'Sport', 0, 2)"
2008,14,909387,"partida nao encontrada: ('2008-07-24', 'Sport', 'Athletico-PR', 1, 0)"
2008,14,909388,"partida nao encontrada: ('2008-07-24', 'Figueirense', 'Gremio', 1, 7)"
2008,14,909389,"partida nao encontrada: ('2008-07-24', 'Palmeiras', 'Santos', 4, 2)"
