partida_id,source,source_match_id,source_url,temporada_id,rodada,data,mandante,visitante,gols_mandante,gols_visitante,match_method,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante
4523,Transfermarkt,2344173,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344173,2013,30,2013-10-20,Internacional,Gremio,2,2,exact,4-4-2 duplo 6,4-3-3 ofensivo,Clemer,Renato Gaúcho
4524,Transfermarkt,2344228,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344228,2013,30,2013-10-20,Botafogo-RJ,Vasco,2,2,exact,4-4-2,3-7-0,Oswaldo de Oliveira,Dorival Júnior
4525,Transfermarkt,2344164,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344164,2013,30,2013-10-20,Coritiba,Cruzeiro,2,1,exact,3-5-2,4-3-3,Péricles Chamusca,Marcelo Oliveira
4526,Transfermarkt,2344177,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344177,2013,30,2013-10-20,Portuguesa,Vitoria,1,1,exact,4-4-2 duplo 6,4-4-2 duplo 6,Guto Ferreira,Ney Franco
4527,Transfermarkt,2344261,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344261,2013,31,2013-10-26,Botafogo-RJ,Atletico-MG,1,0,exact,4-4-2,4-2-4,Oswaldo de Oliveira,Cuca
4528,Transfermarkt,2344190,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344190,2013,31,2013-10-26,Cruzeiro,Criciuma,5,3,exact,4-3-3,4-4-2,Marcelo Oliveira,Argel Fuchs
4529,Transfermarkt,2344198,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344198,2013,31,2013-10-27,Bahia,Athletico-PR,1,1,exact,4-4-2,3-4-3,Cristóvão Borges,Vagner Mancini
4530,Transfermarkt,2344165,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344165,2013,31,2013-10-27,Corinthians,Santos,1,1,exact,4-2-3-1,4-4-2 duplo 6,Tite,Claudinei Oliveira
4531,Transfermarkt,2344183,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344183,2013,31,2013-10-27,Internacional,Sao Paulo,2,3,exact,4-5-1,6-2-2,Clemer,Muricy Ramalho
4532,Transfermarkt,2344166,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344166,2013,31,2013-10-27,Ponte Preta,Vasco,2,1,exact,4-3-3 defensivo,4-1-4-1,Jorginho,Dorival Júnior
4533,Transfermarkt,2344178,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344178,2013,31,2013-10-27,Portuguesa,Flamengo,0,0,exact,4-4-2,5-3-2,Guto Ferreira,Jayme de Almeida Filho
4534,Transfermarkt,2344175,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344175,2013,31,2013-10-27,Coritiba,Gremio,4,0,exact,4-2-3-1,4-5-1 plano,Péricles Chamusca,Renato Gaúcho
4535,Transfermarkt,2344174,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344174,2013,31,2013-10-27,Fluminense,Vitoria,2,3,exact,4-4-2,4-4-2,Vanderlei Luxemburgo,Ney Franco
4536,Transfermarkt,2344184,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344184,2013,31,2013-10-27,Nautico,Goias,0,2,exact,4-4-2,3-5-2,Marcelo Martelotte,Enderson Moreira
4537,Transfermarkt,2344304,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344304,2013,32,2013-11-02,Sao Paulo,Portuguesa,2,1,exact,5-3-2,4-4-2,Muricy Ramalho,Guto Ferreira
4538,Transfermarkt,2344157,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344157,2013,32,2013-11-02,Vasco,Coritiba,2,1,exact,3-6-1,3-5-2,Adilson Batista,Péricles Chamusca
4539,Transfermarkt,2344313,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344313,2013,32,2013-11-02,Atletico-MG,Nautico,5,0,exact,3-4-3,3-5-2,Cuca,Marcelo Martelotte
4540,Transfermarkt,2344312,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344312,2013,32,2013-11-03,Goias,Botafogo-RJ,1,0,exact,4-3-3,4-4-2,Enderson Moreira,Oswaldo de Oliveira
4541,Transfermarkt,2344298,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344298,2013,32,2013-11-03,Gremio,Bahia,0,0,exact,4-5-1 plano,4-5-1 plano,Renato Gaúcho,Cristóvão Borges
4542,Transfermarkt,2344263,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344263,2013,32,2013-11-03,Santos,Cruzeiro,0,1,exact,4-4-2,4-3-3,Claudinei Oliveira,Marcelo Oliveira
4543,Transfermarkt,2344254,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344254,2013,32,2013-11-03,Vitoria,Corinthians,1,1,exact,4-4-2,3-5-2,Ney Franco,Tite
4544,Transfermarkt,2344319,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344319,2013,32,2013-11-03,Athletico-PR,Internacional,1,0,exact,3-4-3,4-5-1,Vagner Mancini,Clemer
4545,Transfermarkt,2344308,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344308,2013,32,2013-11-03,Criciuma,Ponte Preta,1,1,exact,5-3-2,4-4-2,Argel Fuchs,Jorginho
4546,Transfermarkt,2344269,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344269,2013,32,2013-11-03,Flamengo,Fluminense,1,0,exact,4-4-2,4-3-3,Jayme de Almeida Filho,Vanderlei Luxemburgo
4557,Transfermarkt,2344294,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2344294,2013,34,2013-11-13,Goias,Ponte Preta,2,0,exact,4-4-2,4-4-2,Enderson Moreira,Jorginho
