partida_id,temporada,data,mandante,visitante,formacao_mandante,formacao_visitante,fonte,observacao
1572,2006,2006-04-16,Sao Caetano,Cruzeiro,4-4-2,4-4-2,https://www.uol.com.br/esporte/futebol/ultimas/2006/04/16/ult59u101520.jhtm,Transfermarkt trazia Sao Caetano com apenas 9 jogadores de linha classificados; UOL confirma escala do Cruzeiro e Cruzeiropedia confirma os 11 do Sao Caetano.
1655,2006,2006-06-01,Parana,Santa Cruz,3-6-1,4-4-2,https://www.uol.com.br/esporte/futebol/ultimas/2006/06/01/ult59u102424.jhtm,Transfermarkt omitia Cesar no Santa Cruz; UOL/GE listam as escalacoes completas.
1946,2006,2006-12-03,Santos,Santa Cruz,4-4-2,4-4-2,https://acervosantista.com.br/03-12-2006-santos-3-x-1-santa-cruz-campeonato-brasileiro/,Transfermarkt trazia Santa Cruz com apenas 9 jogadores de linha classificados; Acervo Santista lista as escalacoes completas.
