temporada,rodada,match_id,erro
2010,5,1004794,"partida nao encontrada: ('2010-05-30', 'Corinthians', 'Santos', 4, 2)"
2010,5,1004795,"partida nao encontrada: ('2010-05-30', 'Guarani', 'Sao Paulo', 0, 0)"
2010,5,1004796,"partida nao encontrada: ('2010-05-30', 'Atletico-MG', 'Fluminense', 1, 3)"
2010,5,1004797,"partida nao encontrada: ('2010-05-30', 'Internacional', 'Athletico-PR', 4, 1)"
2010,5,1004798,"partida nao encontrada: ('2010-05-30', 'Ceara', 'Cruzeiro', 1, 0)"
2010,5,1004799,"partida nao encontrada: ('2010-05-30', 'Atletico-GO', 'Goias', 1, 3)"
2010,5,1004800,"partida nao encontrada: ('2010-05-30', 'Botafogo-RJ', 'Vasco', 1, 1)"
2010,34,1009425,"partida nao encontrada: ('2010-11-07', 'Atletico-MG', 'Santos', 2, 2)"
2010,34,1009427,"partida nao encontrada: ('2010-11-07', 'Atletico-GO', 'Internacional', 2, 2)"
2010,34,1009426,"partida nao encontrada: ('2010-11-07', 'Gremio', 'Ceara', 5, 1)"
