source,source_match_id,source_url,partida_id,temporada_id,rodada,data,mandante,visitante,gols_mandante,gols_visitante,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante
Transfermarkt,1093699,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1093699,3536,2011,7,2011-06-30,Atletico-MG,Internacional,0,4,4-4-2,4-4-2,Dorival Júnior,Falcão
Transfermarkt,1093711,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1093711,3547,2011,9,2011-07-09,Vasco,Internacional,2,0,4-4-2,4-4-2,Ricardo Gomes,Falcão
Transfermarkt,1093712,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1093712,3548,2011,9,2011-07-09,Sao Paulo,Cruzeiro,2,1,4-5-1,4-4-2,,
Transfermarkt,1093713,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1093713,3549,2011,9,2011-07-09,Athletico-PR,Avai,0,0,4-5-1,4-5-1,Renato Gaúcho,Alexandre Gallo
Transfermarkt,1093719,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1093719,3550,2011,9,2011-07-10,Fluminense,Flamengo,0,1,4-4-2,4-4-2,Abel Braga,Vanderlei Luxemburgo
Transfermarkt,1093714,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1093714,3551,2011,9,2011-07-10,Gremio,Coritiba,2,0,4-4-2,4-4-2,Julinho Camargo,Marcelo Oliveira
Transfermarkt,1093717,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1093717,3552,2011,9,2011-07-10,Bahia,Botafogo-RJ,1,1,4-5-1,4-5-1,Renê Simões,Caio Júnior
Transfermarkt,1093716,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1093716,3553,2011,9,2011-07-10,Atletico-GO,Corinthians,0,1,4-4-2,4-4-2,Paulo César Gusmão,Tite
Transfermarkt,1093715,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1093715,3554,2011,9,2011-07-10,Figueirense,Ceara,1,1,4-4-2,4-4-2,Jorginho,Vagner Mancini
Transfermarkt,1093718,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1093718,3555,2011,9,2011-07-10,Palmeiras,Santos,3,0,4-4-2,4-4-2,Luiz Felipe Scolari,Muricy Ramalho
Transfermarkt,1093720,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1093720,3556,2011,9,2011-07-10,Atletico-MG,America-MG,2,0,4-4-2,4-4-2,Dorival Júnior,Mauro Fernandes
Transfermarkt,1093734,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1093734,3577,2011,11,2011-07-21,Avai,Internacional,1,3,3-5-2,4-4-2,,
Transfermarkt,1093732,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1093732,3578,2011,11,2011-07-23,Sao Paulo,Atletico-GO,2,2,4-4-2,4-5-1,Adilson Batista,Paulo César Gusmão
Transfermarkt,1093731,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1093731,3579,2011,11,2011-07-23,Athletico-PR,Botafogo-RJ,2,1,,,Renato Gaúcho,Caio Júnior
Transfermarkt,1093740,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1093740,3580,2011,11,2011-07-23,America-MG,Figueirense,0,0,3-5-2,4-4-2,Antônio Lopes,Jorginho
Transfermarkt,1093733,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1093733,3581,2011,11,2011-07-23,Flamengo,Ceara,1,1,4-4-2,4-4-2,Vanderlei Luxemburgo,Vagner Mancini
Transfermarkt,1093736,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1093736,3582,2011,11,2011-07-24,Corinthians,Cruzeiro,0,1,4-3-3 defensivo,4-5-1,Tite,Joel Santana
Transfermarkt,1093738,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1093738,3583,2011,11,2011-07-24,Bahia,Coritiba,0,0,4-3-3 defensivo,4-3-3 defensivo,Renê Simões,Marcelo Oliveira
Transfermarkt,1093735,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1093735,3584,2011,11,2011-07-24,Fluminense,Palmeiras,1,0,4-5-1,4-3-3 defensivo,Abel Braga,Luiz Felipe Scolari
Transfermarkt,1093737,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1093737,3585,2011,11,2011-07-24,Atletico-MG,Vasco,1,2,4-4-2,4-4-2,Dorival Júnior,Ricardo Gomes
Transfermarkt,1093739,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1093739,3586,2011,11,2011-10-05,Gremio,Santos,1,0,4-5-1,4-4-2,Celso Roth,Muricy Ramalho
Transfermarkt,1093751,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1093751,3587,2011,13,2011-07-30,Flamengo,Gremio,2,0,4-4-2,4-4-2,Vanderlei Luxemburgo,Julinho Camargo
Transfermarkt,1093752,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1093752,3588,2011,13,2011-07-30,Cruzeiro,Botafogo-RJ,0,1,4-5-1,4-4-2,Joel Santana,Caio Júnior
Transfermarkt,1093754,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1093754,3589,2011,13,2011-07-30,Palmeiras,Atletico-MG,3,2,4-3-3 defensivo,4-4-2,Luiz Felipe Scolari,Dorival Júnior
