source,source_match_id,source_url,partida_id,temporada_id,rodada,data,mandante,visitante,gols_mandante,gols_visitante,match_method,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante
Transfermarkt,2530294,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2530294,1567,2006,1,2006-04-15,Juventude,Parana,1,0,exact,4-4-2 duplo 6,3-4-2-1,Hélio dos Anjos,Caio Júnior
Transfermarkt,2530295,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2530295,1568,2006,1,2006-04-15,Vasco,Internacional,1,1,exact,4-4-2 duplo 6,4-3-3 defensivo,Renato Gaúcho,Abel Braga
Transfermarkt,2530297,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2530297,1569,2006,1,2006-04-16,Sao Paulo,Flamengo,1,0,exact,3-5-2,4-4-2 duplo 6,Muricy Ramalho,Waldemar Lemos
Transfermarkt,2530296,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2530296,1570,2006,1,2006-04-16,Gremio,Corinthians,2,0,exact,4-2-3-1,4-4-2 duplo 6,Mano Menezes,Ademar Braga
Transfermarkt,2530299,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2530299,1572,2006,1,2006-04-16,Sao Caetano,Cruzeiro,2,1,exact,,,Nelsinho Baptista,Paulo César Gusmão
Transfermarkt,2530301,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2530301,1573,2006,1,2006-04-16,Palmeiras,Ponte Preta,2,3,exact,,,Emerson Leão,Vadão
Transfermarkt,2530300,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2530300,1574,2006,1,2006-04-16,Santa Cruz,Figueirense,0,0,exact,,,Giba,Adilson Batista
Transfermarkt,2530302,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2530302,1575,2006,1,2006-04-16,Athletico-PR,Fluminense,1,2,exact,4-3-1-2,5-3-2,Givanildo Oliveira,Oswaldo de Oliveira
Transfermarkt,2530303,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2530303,1576,2006,1,2006-04-16,Goias,Santos,0,0,exact,,,Geninho,Vanderlei Luxemburgo
Transfermarkt,2530304,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2530304,1577,2006,2,2006-04-22,Corinthians,Sao Caetano,3,0,exact,,,Ademar Braga,Nelsinho Baptista
