source,source_match_id,source_url,partida_id,temporada_id,rodada,data,mandante,visitante,gols_mandante,gols_visitante,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante
Transfermarkt,2626587,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2626587,5247,2015,27,2015-09-19,Palmeiras,Gremio,3,2,4-2-3-1,4-2-3-1,Marcelo Oliveira,Roger Machado
Transfermarkt,2626588,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2626588,5248,2015,27,2015-09-19,Internacional,Figueirense,1,1,4-2-3-1,4-3-1-2,Argel Fuchs,Hudson Coutinho
Transfermarkt,2626589,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2626589,5249,2015,27,2015-09-19,Ponte Preta,Fluminense,3,1,4-2-3-1,4-2-3-1,Doriva,Eduardo Baptista
Transfermarkt,2626591,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2626591,5250,2015,27,2015-09-20,Goias,Joinville,3,0,4-2-3-1,4-2-3-1,Wanderley Filho,Paulo César Gusmão
Transfermarkt,2626590,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2626590,5251,2015,27,2015-09-20,Corinthians,Santos,2,0,4-2-3-1,4-2-3-1,Tite,Dorival Júnior
Transfermarkt,2626592,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2626592,5252,2015,27,2015-09-20,Vasco,Sport,2,1,4-2-3-1,4-2-3-1,Jorginho,Daniel Paulista
Transfermarkt,2626593,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2626593,5253,2015,27,2015-09-20,Atletico-MG,Flamengo,4,1,4-2-3-1,4-2-3-1,Levir Culpi,Oswaldo de Oliveira
Transfermarkt,2626594,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2626594,5254,2015,27,2015-09-20,Avai,Sao Paulo,2,1,4-3-2-1,4-3-3 ofensivo,Gilson Kleina,Juan Carlos Osorio
Transfermarkt,2626596,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2626596,5255,2015,27,2015-09-20,Chapecoense,Cruzeiro,0,2,4-3-3 ofensivo,4-2-3-1,Guto Ferreira,Mano Menezes
Transfermarkt,2626595,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2626595,5256,2015,27,2015-09-20,Coritiba,Athletico-PR,2,0,4-4-2 duplo 6,4-2-3-1,Ney Franco,Milton Mendes
Transfermarkt,2695566,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2695566,5407,2016,5,2016-06-01,Internacional,Athletico-PR,1,0,4-2-3-1,4-2-3-1,Argel Fuchs,Paulo Autuori
