temporada,rodada,match_id,erro
2009,6,939122,"partida nao encontrada: ('2009-06-14', 'Coritiba', 'Flamengo', 5, 0)"
2009,6,939123,"partida nao encontrada: ('2009-06-14', 'Fluminense', 'Gremio', 0, 0)"
2009,6,939124,"partida nao encontrada: ('2009-06-14', 'Goias', 'Corinthians', 0, 0)"
2009,6,939125,"partida nao encontrada: ('2009-06-14', 'Atletico-MG', 'Nautico', 3, 0)"
2009,6,939121,"partida nao encontrada: ('2009-06-14', 'Internacional', 'Vitoria', 0, 0)"
2009,6,939127,"partida nao encontrada: ('2009-06-14', 'Palmeiras', 'Cruzeiro', 3, 1)"
2009,6,939128,"partida nao encontrada: ('2009-06-14', 'Barueri', 'Avai', 3, 1)"
2009,12,939187,"partida nao encontrada: ('2009-07-19', 'Flamengo', 'Botafogo-RJ', 2, 2)"
