temporada;fase;rodada;jogo;data;mandante;placar;visitante;observacao;fonte
2002;Primeira fase;1;1;2002-08-10;Vasco;2-0;Figueirense;;https://www.rsssf.org/tablesb/braz02.html
2002;Primeira fase;1;2;2002-08-10;Sao Paulo;4-2;Paysandu;;https://www.rsssf.org/tablesb/braz02.html
2002;Primeira fase;1;3;2002-08-10;Parana;2-1;Sao Caetano;;https://www.rsssf.org/tablesb/braz02.html
2002;Primeira fase;1;4;2002-08-10;Santos;2-1;Botafogo-RJ;;https://www.rsssf.org/tablesb/braz02.html
2002;Primeira fase;1;5;2002-08-10;Goias;3-1;Portuguesa;;https://www.rsssf.org/tablesb/braz02.html
2002;Primeira fase;1;6;2002-08-11;Fluminense;5-1;Cruzeiro;;https://www.rsssf.org/tablesb/braz02.html
2002;Primeira fase;1;7;2002-08-11;Palmeiras;1-1;Gremio;;https://www.rsssf.org/tablesb/braz02.html
2002;Primeira fase;1;8;2002-08-11;Atletico-MG;1-2;Corinthians;;https://www.rsssf.org/tablesb/braz02.html
2002;Primeira fase;1;9;2002-08-11;Internacional;1-3;Flamengo;;https://www.rsssf.org/tablesb/braz02.html
2002;Primeira fase;1;10;2002-08-11;Guarani;2-1;Athletico-PR;;https://www.rsssf.org/tablesb/braz02.html
2002;Primeira fase;1;11;2002-08-11;Coritiba;1-0;Vitoria;;https://www.rsssf.org/tablesb/braz02.html
2002;Primeira fase;1;12;2002-08-11;Bahia;1-0;Gama;;https://www.rsssf.org/tablesb/braz02.html
2002;Primeira fase;1;13;2002-08-11;Juventude;1-0;Ponte Preta;;https://www.rsssf.org/tablesb/braz02.html
2002;Primeira fase;2;14;2002-08-14;Sao Caetano;2-0;Fluminense;;https://www.rsssf.org/tablesb/braz02.html
2002;Primeira fase;2;15;2002-08-14;Botafogo-RJ;1-1;Atletico-MG;;https://www.rsssf.org/tablesb/braz02.html
2002;Primeira fase;2;16;2002-08-14;Cruzeiro;1-1;Palmeiras;;https://www.rsssf.org/tablesb/braz02.html
2002;Primeira fase;2;17;2002-08-14;Gremio;3-2;Vasco;;https://www.rsssf.org/tablesb/braz02.html
2002;Primeira fase;2;18;2002-08-14;Athletico-PR;4-0;Bahia;;https://www.rsssf.org/tablesb/braz02.html
2002;Primeira fase;2;19;2002-08-14;Figueirense;0-0;Guarani;played in Joinville;https://www.rsssf.org/tablesb/braz02.html
2002;Primeira fase;2;20;2002-08-14;Ponte Preta;2-0;Coritiba;;https://www.rsssf.org/tablesb/braz02.html
2002;Primeira fase;2;21;2002-08-14;Vitoria;4-1;Goias;;https://www.rsssf.org/tablesb/braz02.html
2002;Primeira fase;2;22;2002-08-14;Corinthians;3-2;Internacional;;https://www.rsssf.org/tablesb/braz02.html
2002;Primeira fase;2;23;2002-08-14;Flamengo;0-0;Juventude;;https://www.rsssf.org/tablesb/braz02.html
2002;Primeira fase;2;24;2002-08-14;Portuguesa;1-0;Parana;;https://www.rsssf.org/tablesb/braz02.html
2002;Primeira fase;2;25;2002-08-14;Gama;0-1;Sao Paulo;;https://www.rsssf.org/tablesb/braz02.html
2002;Primeira fase;3;26;2002-08-17;Fluminense;3-1;Gremio;;https://www.rsssf.org/tablesb/braz02.html
2002;Primeira fase;3;27;2002-08-17;Internacional;1-0;Ponte Preta;;https://www.rsssf.org/tablesb/braz02.html
2002;Primeira fase;3;28;2002-08-17;Athletico-PR;2-1;Vasco;;https://www.rsssf.org/tablesb/braz02.html
2002;Primeira fase;3;29;2002-08-18;Juventude;2-1;Santos;;https://www.rsssf.org/tablesb/braz02.html
2002;Primeira fase;3;30;2002-08-18;Guarani;1-4;Atletico-MG;;https://www.rsssf.org/tablesb/braz02.html
2002;Primeira fase;3;31;2002-08-18;Flamengo;1-1;Goias;;https://www.rsssf.org/tablesb/braz02.html
2002;Primeira fase;3;32;2002-08-18;Parana;2-3;Sao Paulo;;https://www.rsssf.org/tablesb/braz02.html
2002;Primeira fase;3;33;2002-08-18;Cruzeiro;0-0;Botafogo-RJ;;https://www.rsssf.org/tablesb/braz02.html
