temporada;fase;rodada;jogo;data;mandante;placar;visitante;observacao;fonte
1994;Primeira fase;1;1;1994-08-13;Criciuma;1-1;Corinthians;;https://www.rsssf.org/tablesb/braz94.html
1994;Primeira fase;1;2;1994-08-13;Sport;1-1;Flamengo;;https://www.rsssf.org/tablesb/braz94.html
1994;Primeira fase;1;3;1994-08-14;Bragantino;0-0;Gremio;;https://www.rsssf.org/tablesb/braz94.html
1994;Primeira fase;1;4;1994-08-14;PAYSANDU;0-0;Sao Paulo;;https://www.rsssf.org/tablesb/braz94.html
1994;Primeira fase;1;5;1994-08-14;Botafogo-RJ;1-1;Vitoria;;https://www.rsssf.org/tablesb/braz94.html
1994;Primeira fase;1;6;1994-08-14;Atletico-MG;0-0;Portuguesa;;https://www.rsssf.org/tablesb/braz94.html
1994;Primeira fase;1;7;1994-08-14;Bahia;0-0;Vasco;;https://www.rsssf.org/tablesb/braz94.html
1994;Primeira fase;1;8;1994-08-14;Santos;1-0;Remo;;https://www.rsssf.org/tablesb/braz94.html
1994;Primeira fase;1;9;1994-08-14;Guarani;2-0;Cruzeiro;;https://www.rsssf.org/tablesb/braz94.html
1994;Primeira fase;1;10;1994-08-14;Palmeiras;4-1;Parana;;https://www.rsssf.org/tablesb/braz94.html
1994;Primeira fase;1;11;1994-08-14;Fluminense;3-1;Nautico;;https://www.rsssf.org/tablesb/braz94.html
1994;Primeira fase;1;12;1994-08-14;Internacional;2-0;Uniao Sao Joao;;https://www.rsssf.org/tablesb/braz94.html
1994;Primeira fase;2;13;1994-08-17;Flamengo;2-1;Bragantino;;https://www.rsssf.org/tablesb/braz94.html
1994;Primeira fase;2;14;1994-08-17;Gremio;2-1;Criciuma;;https://www.rsssf.org/tablesb/braz94.html
1994;Primeira fase;2;15;1994-08-17;Corinthians;1-1;Sport;;https://www.rsssf.org/tablesb/braz94.html
1994;Primeira fase;2;16;1994-08-17;Portuguesa;0-0;Botafogo-RJ;;https://www.rsssf.org/tablesb/braz94.html
1994;Primeira fase;2;17;1994-08-18;Sao Paulo;1-0;Atletico-MG;;https://www.rsssf.org/tablesb/braz94.html
1994;Primeira fase;2;18;1994-08-18;Vitoria;0-1;PAYSANDU;;https://www.rsssf.org/tablesb/braz94.html
1994;Primeira fase;2;19;1994-08-17;Vasco;3-1;Guarani;;https://www.rsssf.org/tablesb/braz94.html
1994;Primeira fase;2;20;1994-08-17;Cruzeiro;0-0;Santos;;https://www.rsssf.org/tablesb/braz94.html
1994;Primeira fase;2;21;1994-08-17;Remo;1-1;Bahia;;https://www.rsssf.org/tablesb/braz94.html
1994;Primeira fase;2;22;1994-08-17;Uniao Sao Joao;1-0;Fluminense;;https://www.rsssf.org/tablesb/braz94.html
1994;Primeira fase;2;23;1994-08-17;Nautico;1-3;Palmeiras;;https://www.rsssf.org/tablesb/braz94.html
1994;Primeira fase;2;24;1994-08-17;Parana;1-1;Internacional;;https://www.rsssf.org/tablesb/braz94.html
1994;Primeira fase;3;25;1994-08-21;Corinthians;2-2;Gremio;;https://www.rsssf.org/tablesb/braz94.html
1994;Primeira fase;3;26;1994-08-21;Criciuma;1-1;Flamengo;;https://www.rsssf.org/tablesb/braz94.html
1994;Primeira fase;3;27;1994-08-21;Bragantino;0-1;Sport;;https://www.rsssf.org/tablesb/braz94.html
1994;Primeira fase;3;28;1994-08-20;Botafogo-RJ;4-0;Sao Paulo;;https://www.rsssf.org/tablesb/braz94.html
1994;Primeira fase;3;29;1994-08-21;Atletico-MG;1-3;PAYSANDU;;https://www.rsssf.org/tablesb/braz94.html
1994;Primeira fase;3;30;1994-08-21;Portuguesa;1-0;Vitoria;;https://www.rsssf.org/tablesb/braz94.html
1994;Primeira fase;3;31;1994-08-20;Santos;2-0;Vasco;;https://www.rsssf.org/tablesb/braz94.html
1994;Primeira fase;3;32;1994-08-21;Bahia;0-2;Guarani;;https://www.rsssf.org/tablesb/braz94.html
1994;Primeira fase;3;33;1994-08-21;Remo;2-1;Cruzeiro;;https://www.rsssf.org/tablesb/braz94.html
1994;Primeira fase;3;34;1994-08-21;Internacional;0-2;Palmeiras;;https://www.rsssf.org/tablesb/braz94.html
1994;Primeira fase;3;35;1994-08-21;Fluminense;2-1;Parana;;https://www.rsssf.org/tablesb/braz94.html
1994;Primeira fase;3;36;1994-08-21;Nautico;0-1;Uniao Sao Joao;;https://www.rsssf.org/tablesb/braz94.html
1994;Primeira fase;4;37;1994-08-24;Gremio;2-0;Flamengo;;https://www.rsssf.org/tablesb/braz94.html
1994;Primeira fase;4;38;1994-08-24;Bragantino;0-1;Corinthians;;https://www.rsssf.org/tablesb/braz94.html
1994;Primeira fase;4;39;1994-08-24;Sport;1-1;Criciuma;;https://www.rsssf.org/tablesb/braz94.html
1994;Primeira fase;4;40;1994-08-24;PAYSANDU;0-0;Portuguesa;;https://www.rsssf.org/tablesb/braz94.html
1994;Primeira fase;4;41;1994-08-24;Botafogo-RJ;2-1;Atletico-MG;;https://www.rsssf.org/tablesb/braz94.html
1994;Primeira fase;4;42;1994-09-07;Vitoria;1-1;Sao Paulo;;https://www.rsssf.org/tablesb/braz94.html
1994;Primeira fase;4;43;1994-08-24;Cruzeiro;1-1;Vasco;;https://www.rsssf.org/tablesb/braz94.html
1994;Primeira fase;4;44;1994-08-24;Guarani;1-0;Remo;;https://www.rsssf.org/tablesb/braz94.html
1994;Primeira fase;4;45;1994-08-24;Santos;3-0;Bahia;;https://www.rsssf.org/tablesb/braz94.html
1994;Primeira fase;4;46;1994-08-24;Fluminense;2-1;Internacional;;https://www.rsssf.org/tablesb/braz94.html
1994;Primeira fase;4;47;1994-08-24;Palmeiras;5-1;Uniao Sao Joao;;https://www.rsssf.org/tablesb/braz94.html
1994;Primeira fase;4;48;1994-08-25;Parana;1-1;Nautico;;https://www.rsssf.org/tablesb/braz94.html
1994;Primeira fase;5;49;1994-08-28;Criciuma;1-1;Bragantino;;https://www.rsssf.org/tablesb/braz94.html
1994;Primeira fase;5;50;1994-08-28;Sport;0-1;Gremio;;https://www.rsssf.org/tablesb/braz94.html
1994;Primeira fase;5;51;1994-08-28;Flamengo;5-2;Corinthians;;https://www.rsssf.org/tablesb/braz94.html
