temporada,rodada,partida_id_banco,data_banco,mandante_banco,visitante_banco,placar_banco,match_id_transfermarkt,data_transfermarkt,mandante_transfermarkt,visitante_transfermarkt,placar_transfermarkt,source_url,duvida
2010,5,3133,2010-05-23,Corinthians,Santos,4-2,1004794,2010-05-30,Corinthians,Santos,4-2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1004794,"mesmos times/rodada/placar, mas data diferente; confirmar antes de aplicar"
2010,5,3134,2010-05-23,Ceara,Cruzeiro,1-0,1004798,2010-05-30,Ceara,Cruzeiro,1-0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1004798,"mesmos times/rodada/placar, mas data diferente; confirmar antes de aplicar"
2010,5,3135,2010-05-23,Botafogo-RJ,Vasco,1-1,1004800,2010-05-30,Botafogo-RJ,Vasco,1-1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1004800,"mesmos times/rodada/placar, mas data diferente; confirmar antes de aplicar"
2010,5,3136,2010-05-23,Atletico-GO,Goias,1-3,1004799,2010-05-30,Atletico-GO,Goias,1-3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1004799,"mesmos times/rodada/placar, mas data diferente; confirmar antes de aplicar"
2010,34,3417,2010-11-06,Atletico-MG,Santos,2-2,1009425,2010-11-07,Atletico-MG,Santos,2-2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009425,"mesmos times/rodada/placar, mas data diferente; confirmar antes de aplicar"
2010,34,3418,2010-11-06,Gremio,Ceara,5-1,1009426,2010-11-07,Gremio,Ceara,5-1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009426,"mesmos times/rodada/placar, mas data diferente; confirmar antes de aplicar"
2010,34,3419,2010-11-06,Atletico-GO,Internacional,2-2,1009427,2010-11-07,Atletico-GO,Internacional,2-2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009427,"mesmos times/rodada/placar, mas data diferente; confirmar antes de aplicar"
2016,30,5661,2016-10-13,Palmeiras,Cruzeiro,0-0,2770184,2016-10-12,Palmeiras,Cruzeiro,0-0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2770184,"mesmos times/rodada/placar, mas data diferente; confirmar antes de aplicar"
2016,30,5662,2016-10-13,Ponte Preta,Vitoria,2-0,2770186,2016-10-12,Ponte Preta,Vitoria,2-0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2770186,"mesmos times/rodada/placar, mas data diferente; confirmar antes de aplicar"
2016,30,5663,2016-10-13,Atletico-MG,America-MG,3-0,2770185,2016-10-12,Atletico-MG,America-MG,3-0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2770185,"mesmos times/rodada/placar, mas data diferente; confirmar antes de aplicar"
2016,30,5664,2016-10-13,Fluminense,Flamengo,1-2,2770188,2016-10-12,Fluminense,Flamengo,1-2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2770188,"mesmos times/rodada/placar, mas data diferente; confirmar antes de aplicar"
2016,30,5665,2016-10-13,Sao Paulo,Santos,0-1,2770187,2016-10-12,Sao Paulo,Santos,0-1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2770187,"mesmos times/rodada/placar, mas data diferente; confirmar antes de aplicar"
2016,30,5666,2016-10-13,Gremio,Athletico-PR,1-0,2770189,2016-10-12,Gremio,Athletico-PR,1-0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2770189,"mesmos times/rodada/placar, mas data diferente; confirmar antes de aplicar"
2017,29,6026,2017-10-18,Atletico-GO,Vasco,0-1,2937775,2017-10-17,Atletico-GO,Vasco,0-1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2937775,"mesmos times/rodada/placar, mas data diferente; confirmar antes de aplicar"
2017,29,6027,2017-10-18,Coritiba,Cruzeiro,1-0,2937774,2017-10-17,Coritiba,Cruzeiro,1-0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2937774,"mesmos times/rodada/placar, mas data diferente; confirmar antes de aplicar"
2017,29,6028,2017-10-18,Atletico-MG,Chapecoense,2-3,2937776,2017-10-17,Atletico-MG,Chapecoense,2-3,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2937776,"mesmos times/rodada/placar, mas data diferente; confirmar antes de aplicar"
2017,29,6029,2017-10-18,Avai,Botafogo-RJ,1-1,2937779,2017-10-17,Avai,Botafogo-RJ,1-1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2937779,"mesmos times/rodada/placar, mas data diferente; confirmar antes de aplicar"
2017,29,6030,2017-10-18,Fluminense,Sao Paulo,3-1,2937777,2017-10-17,Fluminense,Sao Paulo,3-1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2937777,"mesmos times/rodada/placar, mas data diferente; confirmar antes de aplicar"
2017,29,6031,2017-10-18,Corinthians,Gremio,0-0,2937778,2017-10-17,Corinthians,Gremio,0-0,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/2937778,"mesmos times/rodada/placar, mas data diferente; confirmar antes de aplicar"
