temporada,rodada,match_id,erro
2004,1,3477110,sem tecnico/formacao
2004,2,3477119,sem tecnico/formacao
2004,3,3477133,sem tecnico/formacao
2004,6,3477159,sem tecnico/formacao
2004,6,3477169,sem tecnico/formacao
2004,8,3477183,sem tecnico/formacao
2004,8,3477192,sem tecnico/formacao
2004,10,3477207,sem tecnico/formacao
2004,9,3477205,sem tecnico/formacao
2004,11,3477222,sem tecnico/formacao
2004,11,3477230,sem tecnico/formacao
2004,12,3477233,sem tecnico/formacao
2004,13,3477253,sem tecnico/formacao
2004,18,3477310,sem tecnico/formacao
2004,24,3477383,sem tecnico/formacao
2004,27,3477419,sem tecnico/formacao
2004,28,3477432,sem tecnico/formacao
2004,29,3477441,sem tecnico/formacao
2004,29,3477446,sem tecnico/formacao
2004,30,3477449,sem tecnico/formacao
2004,31,3477467,sem tecnico/formacao
2004,32,3477480,sem tecnico/formacao
2004,32,3477482,sem tecnico/formacao
2004,34,3477503,sem tecnico/formacao
2004,35,3477514,sem tecnico/formacao
2004,35,3477517,sem tecnico/formacao
2004,36,3477523,sem tecnico/formacao
2004,40,3477571,sem tecnico/formacao
2004,40,3477576,sem tecnico/formacao
2004,43,3477613,sem tecnico/formacao
