temporada,rodada,match_id,erro
2016,30,2770185,"partida nao encontrada: ('2016-10-12', 'Atletico-MG', 'America-MG', 3, 0)"
2016,30,2770184,"partida nao encontrada: ('2016-10-12', 'Palmeiras', 'Cruzeiro', 0, 0)"
2016,30,2770186,"partida nao encontrada: ('2016-10-12', 'Ponte Preta', 'Vitoria', 2, 0)"
2016,30,2770188,"partida nao encontrada: ('2016-10-12', 'Fluminense', 'Flamengo', 1, 2)"
2016,30,2770187,"partida nao encontrada: ('2016-10-12', 'Sao Paulo', 'Santos', 0, 1)"
2016,30,2770189,"partida nao encontrada: ('2016-10-12', 'Gremio', 'Athletico-PR', 1, 0)"
2017,29,2937774,"partida nao encontrada: ('2017-10-17', 'Coritiba', 'Cruzeiro', 1, 0)"
2017,29,2937775,"partida nao encontrada: ('2017-10-17', 'Atletico-GO', 'Vasco', 0, 1)"
2017,29,2937776,"partida nao encontrada: ('2017-10-17', 'Atletico-MG', 'Chapecoense', 2, 3)"
2017,29,2937777,"partida nao encontrada: ('2017-10-17', 'Fluminense', 'Sao Paulo', 3, 1)"
2017,29,2937778,"partida nao encontrada: ('2017-10-17', 'Corinthians', 'Gremio', 0, 0)"
2017,29,2937779,"partida nao encontrada: ('2017-10-17', 'Avai', 'Botafogo-RJ', 1, 1)"
