source,source_match_id,source_url,partida_id,temporada_id,rodada,data,mandante,visitante,gols_mandante,gols_visitante,match_method,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante
Transfermarkt,3477099,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477099,553,2004,1,2004-04-21,Botafogo-RJ,Goias,1,4,exact,,,Levir Culpi,Celso Roth
Transfermarkt,3477100,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477100,554,2004,1,2004-04-21,Figueirense,Internacional,1,0,exact,,,Dorival Júnior,Lori Sandri
Transfermarkt,3477101,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477101,555,2004,1,2004-04-21,Sao Caetano,Vitoria,1,0,exact,,,Muricy Ramalho,Agnaldo Liz
Transfermarkt,3477102,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477102,556,2004,1,2004-04-21,Cruzeiro,Juventude,2,1,exact,,,Luis Antonio Zaluar,Ivo Wortmann
Transfermarkt,3477103,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477103,557,2004,1,2004-04-21,Palmeiras,Atletico-MG,0,0,exact,,,Jair Picerni,Paulo Bonamigo
Transfermarkt,3477104,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477104,558,2004,1,2004-04-21,Gremio,Flamengo,0,0,exact,,,Adilson Batista,Abel Braga
Transfermarkt,3477105,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477105,559,2004,1,2004-04-21,Ponte Preta,Corinthians,3,2,exact,,,Estevam Soares,Oswaldo de Oliveira
Transfermarkt,3477106,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477106,560,2004,1,2004-04-21,Parana,Santos,3,2,exact,,,Paulo Campos,Emerson Leão
Transfermarkt,3477107,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477107,561,2004,1,2004-04-22,Coritiba,Guarani,1,0,exact,,,Antônio Lopes,Joel Santana
Transfermarkt,3477108,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477108,562,2004,1,2004-04-22,Vasco,Criciuma,0,1,exact,,,Geninho,Vágner Benazzi
Transfermarkt,3477109,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477109,563,2004,1,2004-04-22,Paysandu,Fluminense,3,3,exact,,,Arthur Neto,Ricardo Gomes
Transfermarkt,3477111,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477111,565,2004,2,2004-04-24,Flamengo,Ponte Preta,0,0,exact,,,Abel Braga,Estevam Soares
Transfermarkt,3477112,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477112,566,2004,2,2004-04-24,Goias,Cruzeiro,2,2,exact,,,Celso Roth,Luis Antonio Zaluar
Transfermarkt,3477113,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477113,567,2004,2,2004-04-24,Juventude,Gremio,1,1,exact,,,Ivo Wortmann,Adilson Batista
Transfermarkt,3477114,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477114,568,2004,2,2004-04-25,Internacional,Palmeiras,1,0,exact,,,Lori Sandri,Jair Picerni
Transfermarkt,3477115,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477115,569,2004,2,2004-04-25,Atletico-MG,Vasco,1,1,exact,,,Paulo Bonamigo,Geninho
Transfermarkt,3477116,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477116,570,2004,2,2004-04-25,Fluminense,Coritiba,1,1,exact,,,Ricardo Gomes,Antônio Lopes
Transfermarkt,3477117,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477117,571,2004,2,2004-04-25,Corinthians,Paysandu,2,1,exact,,,Oswaldo de Oliveira,Arthur Neto
Transfermarkt,3477118,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477118,572,2004,2,2004-04-25,Guarani,Sao Caetano,1,1,exact,,,Joel Santana,Muricy Ramalho
Transfermarkt,3477120,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477120,574,2004,2,2004-04-25,Vitoria,Parana,6,1,exact,,,Agnaldo Liz,Paulo Campos
Transfermarkt,3477121,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477121,575,2004,2,2004-04-25,Criciuma,Sao Paulo,1,1,exact,,,Vágner Benazzi,Cuca
Transfermarkt,3477122,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3477122,576,2004,2,2004-04-25,Santos,Botafogo-RJ,2,0,exact,,,Emerson Leão,Levir Culpi
