status,partida_id,temporada,rodada,data_banco,data_ogol,mandante,visitante,placar,match_method,source_url,tecnico_mandante,tecnico_visitante
ok,26,2003,4,2003-04-16,2003-04-17,Bahia,Juventude,3-1,same_score,https://www.ogol.com.br/jogo/2003-04-17-bahia-juventude/502238,Bobô,Cristóvão Borges
ok,75,2003,7,2003-05-03,2003-05-03,Cruzeiro,Athletico-PR,5-2,exact,https://www.ogol.com.br/jogo/2003-05-03-cruzeiro-atletico-paranaense/502273,Vanderlei Luxemburgo,Vadão
ok,214,2003,18,2003-07-13,2003-07-13,Fluminense,Sao Paulo,1-3,exact,https://www.ogol.com.br/jogo/2003-07-13-fluminense-sao-paulo/502414,Gilson Gênio,Roberto Rojas
