source,source_match_id,source_url,partida_id,temporada_id,rodada,data,mandante,visitante,gols_mandante,gols_visitante,match_method,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante
Transfermarkt,939088,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939088,2726,2009,2,2009-05-17,Nautico,Cruzeiro,2,0,exact,4-4-2,4-4-2,Waldemar Lemos,Adilson Batista
Transfermarkt,939179,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939179,2817,2009,12,2009-07-18,Fluminense,Goias,1,4,exact,4-4-2,3-5-2,Vinícius Eutrópio,Hélio dos Anjos
Transfermarkt,939180,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939180,2818,2009,12,2009-07-18,Palmeiras,Santo Andre,1,0,exact,4-4-2,4-4-2,Jorginho Cantinflas,Sérgio Guedes
Transfermarkt,939183,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939183,2819,2009,12,2009-07-19,Gremio,Internacional,2,1,exact,4-4-2,4-4-2,Paulo Autuori,Tite
Transfermarkt,939184,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939184,2820,2009,12,2009-07-19,Sao Paulo,Santos,2,1,exact,3-5-2,4-4-2,Ricardo Gomes,Serginho Chulapa
Transfermarkt,939185,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939185,2821,2009,12,2009-07-19,Athletico-PR,Coritiba,0,0,exact,4-4-2,4-4-2,Waldemar Lemos,Renê Simões
Transfermarkt,939181,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939181,2822,2009,12,2009-07-19,Vitoria,Atletico-MG,0,0,exact,3-5-2,3-5-2,Paulo César Carpegiani,Celso Roth
Transfermarkt,939182,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939182,2823,2009,12,2009-07-19,Cruzeiro,Corinthians,1,2,exact,4-4-2,4-4-2,Adilson Batista,Mano Menezes
Transfermarkt,939186,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939186,2824,2009,12,2009-07-19,Barueri,Nautico,4,0,exact,4-4-2,4-4-2,Estevam Soares,Geninho
Transfermarkt,939188,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939188,2825,2009,12,2009-07-19,Sport,Avai,1,3,exact,3-5-2,3-5-2,Emerson Leão,Silas
Transfermarkt,939213,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939213,2847,2009,15,2009-07-29,Nautico,Santos,1,2,exact,3-5-2,4-4-2,Geninho,Vanderlei Luxemburgo
Transfermarkt,939209,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939209,2848,2009,15,2009-07-29,Coritiba,Botafogo-RJ,2,2,exact,4-4-2,3-5-2,Renê Simões,Ney Franco
Transfermarkt,939212,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939212,2849,2009,15,2009-07-29,Goias,Athletico-PR,3,0,exact,3-5-2,3-5-2,Hélio dos Anjos,Waldemar Lemos
Transfermarkt,939211,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939211,2850,2009,15,2009-07-29,Internacional,Barueri,3,2,exact,4-4-2,4-4-2,Tite,Estevam Soares
Transfermarkt,939210,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939210,2851,2009,15,2009-07-29,Cruzeiro,Sport,1,0,exact,4-4-2,3-5-2,Adilson Batista,Péricles Chamusca
Transfermarkt,939215,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939215,2852,2009,15,2009-07-29,Santo Andre,Corinthians,1,1,exact,4-4-2,4-4-2,Sandro Gaucho,Mano Menezes
Transfermarkt,939214,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939214,2853,2009,15,2009-07-29,Palmeiras,Fluminense,1,0,exact,4-5-1,5-4-1,Muricy Ramalho,Renato Gaúcho
Transfermarkt,939216,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939216,2854,2009,15,2009-07-30,Avai,Vitoria,4,0,exact,4-4-2,4-4-2,Silas,Paulo César Carpegiani
Transfermarkt,939218,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939218,2855,2009,15,2009-07-30,Flamengo,Atletico-MG,3,1,exact,4-4-2,4-4-2,Andrade,Celso Roth
Transfermarkt,939217,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/939217,2856,2009,15,2009-07-30,Sao Paulo,Gremio,2,1,exact,4-3-3,4-4-2,Ricardo Gomes,Paulo Autuori
Transfermarkt,965901,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/965901,2907,2009,21,2009-08-22,Palmeiras,Internacional,2,1,exact,4-4-2,4-4-2,Muricy Ramalho,Tite
Transfermarkt,965902,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/965902,2908,2009,21,2009-08-22,Santo Andre,Coritiba,1,0,exact,4-4-2,4-5-1,Alexandre Gallo,Ney Franco
Transfermarkt,965903,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/965903,2909,2009,21,2009-08-22,Sport,Vitoria,2,0,exact,4-4-2,4-4-2,Péricles Chamusca,Vagner Mancini
Transfermarkt,965904,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/965904,2910,2009,21,2009-08-23,Corinthians,Botafogo-RJ,3,3,exact,4-3-3 ofensivo,4-4-2,Mano Menezes,Estevam Soares
Transfermarkt,965905,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/965905,2911,2009,21,2009-08-23,Athletico-PR,Sao Paulo,1,0,exact,4-4-2,3-5-2,Antônio Lopes,Ricardo Gomes
Transfermarkt,965906,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/965906,2912,2009,21,2009-08-23,Gremio,Atletico-MG,4,1,exact,4-4-2,4-4-2,Paulo Autuori,Celso Roth
Transfermarkt,965907,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/965907,2913,2009,21,2009-08-23,Fluminense,Barueri,0,0,exact,4-4-2,3-5-2,Renato Gaúcho,Diego Cerri
Transfermarkt,965908,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/965908,2914,2009,21,2009-08-23,Goias,Santos,2,1,exact,3-5-2,4-4-2,Hélio dos Anjos,Vanderlei Luxemburgo
Transfermarkt,965909,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/965909,2915,2009,21,2009-08-23,Cruzeiro,Nautico,4,2,exact,4-4-2,3-5-2,Adilson Batista,Geninho
Transfermarkt,965910,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/965910,2916,2009,21,2009-08-23,Avai,Flamengo,3,0,exact,3-5-2,4-4-2,Silas,Andrade
Transfermarkt,1003482,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1003482,3097,2010,2,2010-05-15,Fluminense,Atletico-GO,1,0,exact,4-4-2,4-4-2,Muricy Ramalho,Geninho
Transfermarkt,1003483,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1003483,3098,2010,2,2010-05-15,Gremio Prudente,Atletico-MG,4,0,exact,4-4-2,3-5-2,Toninho Cecílio,Vanderlei Luxemburgo
Transfermarkt,1003486,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1003486,3099,2010,2,2010-05-15,Vitoria,Flamengo,1,1,exact,3-4-3,4-4-2,Ricardo Silva,Rogério Lourenço
Transfermarkt,1003487,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1003487,3100,2010,2,2010-05-16,Santos,Ceara,1,1,exact,4-4-2,4-4-2,Dorival Júnior,Paulo César Gusmão
Transfermarkt,1003481,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1003481,3101,2010,2,2010-05-16,Sao Paulo,Botafogo-RJ,1,2,exact,3-5-2,3-5-2,Ricardo Gomes,Joel Santana
Transfermarkt,1003484,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1003484,3102,2010,2,2010-05-16,Gremio,Corinthians,1,2,exact,4-4-2,4-3-3 defensivo,Silas,Mano Menezes
Transfermarkt,1003485,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1003485,3103,2010,2,2010-05-16,Goias,Internacional,2,3,exact,3-5-2,4-4-2,Emerson Leão,Jorge Fossati
Transfermarkt,1003488,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1003488,3104,2010,2,2010-05-16,Vasco,Palmeiras,0,0,exact,4-4-2,4-4-2,Gaúcho,Antônio Carlos Zago
Transfermarkt,1003489,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1003489,3105,2010,2,2010-05-16,Cruzeiro,Avai,2,2,exact,4-4-2,3-5-2,Adilson Batista,Péricles Chamusca
Transfermarkt,1003490,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1003490,3106,2010,2,2010-05-16,Athletico-PR,Guarani,2,2,exact,3-5-2,4-4-2,Leandro Niehues,Vagner Mancini
Transfermarkt,1009446,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009446,3437,2010,36,2010-11-20,Gremio,Athletico-PR,3,1,exact,4-4-2,4-4-2,Renato Gaúcho,Sérgio Soares
Transfermarkt,1009442,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009442,3438,2010,36,2010-11-20,Flamengo,Guarani,2,1,exact,4-4-2,4-4-2,Vanderlei Luxemburgo,Vagner Mancini
Transfermarkt,1009444,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009444,3439,2010,36,2010-11-20,Gremio Prudente,Ceara,1,1,exact,4-4-2,3-5-2,Fábio Giuntini,Dimas Filgueiras
Transfermarkt,1009440,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009440,3440,2010,36,2010-11-21,Sao Paulo,Fluminense,1,4,exact,4-4-2,4-4-2,Paulo César Carpegiani,Muricy Ramalho
Transfermarkt,1009443,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009443,3441,2010,36,2010-11-21,Botafogo-RJ,Internacional,1,2,exact,3-5-2,4-5-1,Joel Santana,Celso Roth
Transfermarkt,1009441,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009441,3442,2010,36,2010-11-21,Palmeiras,Atletico-MG,0,2,exact,3-5-2,4-4-2,Luiz Felipe Scolari,Dorival Júnior
Transfermarkt,1009448,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009448,3443,2010,36,2010-11-21,Vitoria,Corinthians,1,1,exact,4-3-3,4-5-1,Antônio Lopes,Tite
