status,nome_rsssf,selecao,gols_rsssf,periodo_rsssf,nome_banco,gols_banco,periodo_banco,diferenca,criterio_match,observacao
ok,Claudio Paul CANIGGIA,Argentina,4,1990-1994,Claudio Caniggia,4,1990-1994,0,selecao_e_gols,
ok,Thomas BROLIN,Suécia,4,1990-1994,Brolin,4,1990-1994,0,selecao_e_gols,
ok,Martin DAHLIN,Suécia,4,1994,Dahlin,4,1994,0,selecao_e_gols,
ok,Florin Valeriu RADUCIOIU,Romênia,4,1994,Răducioiu,4,1994,0,nome,
ok,José Marcelo SALAS Melinao,Chile,4,1998,Salas,4,1998,0,selecao_e_gols,
ok,Luis Arturo HERNÁNDEZ Carreón,México,4,1998-2002,Luis Hernández,4,1998,0,nome,
ok,Oliver BIERHOFF,Alemanha,4,1998-2002,Bierhoff,4,1998-2002,0,selecao_e_gols,
ok,Michael James OWEN,Inglaterra,4,1998-2002,Owen,4,1998-2002,0,selecao_e_gols,
ok,Hernán CRESPO,Argentina,4,2002-2006,Crespo,4,2002-2006,0,selecao_e_gols,
ok,Róbert VITTEK,Eslováquia,4,2010,Vittek,4,2010,0,nome,
ok,Fernando TORRES,Espanha,4,2006-2014,Torres,4,2006-2014,0,selecao_e_gols,
ok,Clint DEMPSEY,Estados Unidos,4,2006-2014,Dempsey,4,2006-2014,0,selecao_e_gols,
ok,Keisuke HONDA,Japão,4,2010-2018,Honda,4,2010-2018,0,nome,
ok,Javier HERNÁNDEZ,México,4,2010-2018,Javier Hernández,4,2010-2018,0,nome,
ok,Ahmed MUSA,Nigéria,4,2014-2018,Musa,4,2014-2018,0,selecao_e_gols,
ok,Denis Dmitriyevich CHERYSHEV,Rússia,4,2018,Cheryshev,4,2018,0,selecao_e_gols,
ok,Antoine GRIEZMANN,França,4,2018,Griezmann,4,2018,0,selecao_e_gols,
ok,Julián ÁLVAREZ,Argentina,4,2022,Álvarez,4,2022,0,selecao_e_gols,
