temporada,rodada,partida_id,data,mandante,visitante,placar,o_que_falta,tecnico_mandante_atual,tecnico_visitante_atual,formacao_mandante_atual,formacao_visitante_atual,source_url_transfermarkt,campos_disponiveis_transfermarkt,transfermarkt_tecnico_mandante,transfermarkt_tecnico_visitante,transfermarkt_formacao_mandante,transfermarkt_formacao_visitante,onde_procurar,observacao
2013,34,4562,2013-11-13,Sao Paulo,Flamengo,2-0,"formacao_mandante, formacao_visitante",Muricy Ramalho,Jayme de Almeida Filho,,,,,,,,,Transfermarkt buscar por jogo; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,"Sem link direto auditado; procurar por temporada, rodada, times, placar e data do banco."
2013,34,4563,2013-11-13,Vitoria,Cruzeiro,1-3,"formacao_mandante, formacao_visitante",Ney Franco,Marcelo Oliveira,,,,,,,,,Transfermarkt buscar por jogo; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,"Sem link direto auditado; procurar por temporada, rodada, times, placar e data do banco."
2013,34,4564,2013-11-14,Santos,Bahia,3-0,"formacao_mandante, formacao_visitante",Claudinei Oliveira,Cristóvão Borges,,,,,,,,,Transfermarkt buscar por jogo; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,"Sem link direto auditado; procurar por temporada, rodada, times, placar e data do banco."
2013,34,4565,2013-11-14,Atletico-MG,Internacional,2-1,"formacao_mandante, formacao_visitante",Cuca,Clemer,,,,,,,,,Transfermarkt buscar por jogo; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,"Sem link direto auditado; procurar por temporada, rodada, times, placar e data do banco."
2013,34,4566,2013-11-14,Fluminense,Nautico,2-0,"formacao_mandante, formacao_visitante",Dorival Júnior,Marcelo Martelotte,,,,,,,,,Transfermarkt buscar por jogo; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,"Sem link direto auditado; procurar por temporada, rodada, times, placar e data do banco."
2013,35,4567,2013-11-16,Botafogo-RJ,Athletico-PR,4-0,"formacao_mandante, formacao_visitante",Oswaldo de Oliveira,Vagner Mancini,,,,,,,,,Transfermarkt buscar por jogo; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,"Sem link direto auditado; procurar por temporada, rodada, times, placar e data do banco."
2013,35,4568,2013-11-16,Coritiba,Criciuma,1-2,"formacao_mandante, formacao_visitante",Péricles Chamusca,Argel Fuchs,,,,,,,,,Transfermarkt buscar por jogo; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,"Sem link direto auditado; procurar por temporada, rodada, times, placar e data do banco."
2013,35,4569,2013-11-17,Corinthians,Vasco,0-0,"formacao_mandante, formacao_visitante",Tite,Adilson Batista,,,,,,,,,Transfermarkt buscar por jogo; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,"Sem link direto auditado; procurar por temporada, rodada, times, placar e data do banco."
2013,35,4570,2013-11-17,Cruzeiro,Ponte Preta,2-2,"formacao_mandante, formacao_visitante",Marcelo Oliveira,Jorginho,,,,,,,,,Transfermarkt buscar por jogo; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,"Sem link direto auditado; procurar por temporada, rodada, times, placar e data do banco."
2013,35,4571,2013-11-17,Fluminense,Sao Paulo,2-1,"formacao_mandante, formacao_visitante",Dorival Júnior,Muricy Ramalho,,,,,,,,,Transfermarkt buscar por jogo; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,"Sem link direto auditado; procurar por temporada, rodada, times, placar e data do banco."
2013,35,4572,2013-11-17,Vitoria,Santos,2-0,"formacao_mandante, formacao_visitante",Ney Franco,Claudinei Oliveira,,,,,,,,,Transfermarkt buscar por jogo; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,"Sem link direto auditado; procurar por temporada, rodada, times, placar e data do banco."
2013,35,4573,2013-11-17,Goias,Internacional,3-1,"formacao_mandante, formacao_visitante",Enderson Moreira,Clemer,,,,,,,,,Transfermarkt buscar por jogo; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,"Sem link direto auditado; procurar por temporada, rodada, times, placar e data do banco."
2013,35,4575,2013-11-17,Nautico,Bahia,0-1,"formacao_mandante, formacao_visitante",Marcelo Martelotte,Cristóvão Borges,,,,,,,,,Transfermarkt buscar por jogo; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,"Sem link direto auditado; procurar por temporada, rodada, times, placar e data do banco."
2013,35,4576,2013-11-17,Portuguesa,Atletico-MG,2-0,"formacao_mandante, formacao_visitante",Guto Ferreira,Cuca,,,,,,,,,Transfermarkt buscar por jogo; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,"Sem link direto auditado; procurar por temporada, rodada, times, placar e data do banco."
2013,36,4577,2013-11-23,Criciuma,Vitoria,1-1,"formacao_mandante, formacao_visitante",Argel Fuchs,Ney Franco,,,,,,,,,Transfermarkt buscar por jogo; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,"Sem link direto auditado; procurar por temporada, rodada, times, placar e data do banco."
2013,36,4578,2013-11-23,Vasco,Cruzeiro,2-1,"formacao_mandante, formacao_visitante",Adilson Batista,Marcelo Oliveira,,,,,,,,,Transfermarkt buscar por jogo; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,"Sem link direto auditado; procurar por temporada, rodada, times, placar e data do banco."
2013,36,4580,2013-11-24,Athletico-PR,Nautico,6-1,"formacao_mandante, formacao_visitante",Vagner Mancini,Marcelo Martelotte,,,,,,,,,Transfermarkt buscar por jogo; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,"Sem link direto auditado; procurar por temporada, rodada, times, placar e data do banco."
2013,37,4590,2013-12-01,Criciuma,Sao Paulo,1-0,"formacao_mandante, formacao_visitante",Argel Fuchs,Muricy Ramalho,,,,,,,,,Transfermarkt buscar por jogo; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,"Sem link direto auditado; procurar por temporada, rodada, times, placar e data do banco."
2013,37,4591,2013-12-01,Cruzeiro,Bahia,1-2,"formacao_mandante, formacao_visitante",Marcelo Oliveira,Cristóvão Borges,,,,,,,,,Transfermarkt buscar por jogo; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,"Sem link direto auditado; procurar por temporada, rodada, times, placar e data do banco."
2013,37,4594,2013-12-01,Vitoria,Flamengo,4-2,"formacao_mandante, formacao_visitante",Ney Franco,Jayme de Almeida Filho,,,,,,,,,Transfermarkt buscar por jogo; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,"Sem link direto auditado; procurar por temporada, rodada, times, placar e data do banco."
