temporada,rodada,partida_id,data,mandante,visitante,placar,o_que_falta,tecnico_mandante_atual,tecnico_visitante_atual,formacao_mandante_atual,formacao_visitante_atual,source_url_transfermarkt,campos_disponiveis_transfermarkt,transfermarkt_tecnico_mandante,transfermarkt_tecnico_visitante,transfermarkt_formacao_mandante,transfermarkt_formacao_visitante,onde_procurar,observacao
2010,14,3223,2010-08-15,Gremio Prudente,Vasco,1-2,"tecnico_mandante, tecnico_visitante",,,4-4-2,4-4-2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1006345,"formacao_mandante, formacao_visitante",,,4-4-2,4-4-2,Transfermarkt linkado; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,Link conhecido; conferir/aplicar somente os campos listados em o_que_falta.
2010,21,3287,2010-09-11,Flamengo,Vitoria,2-2,"tecnico_mandante, tecnico_visitante",,,4-4-2,4-4-2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1007650,"formacao_mandante, formacao_visitante",,,4-4-2,4-4-2,Transfermarkt linkado; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,Link conhecido; conferir/aplicar somente os campos listados em o_que_falta.
2010,24,3326,2010-09-23,Vitoria,Avai,3-0,"tecnico_mandante, tecnico_visitante",,,4-4-2,4-4-2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009327,"formacao_mandante, formacao_visitante",,,4-4-2,4-4-2,Transfermarkt linkado; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,Link conhecido; conferir/aplicar somente os campos listados em o_que_falta.
2010,25,3333,2010-09-26,Vitoria,Fluminense,1-2,"tecnico_mandante, tecnico_visitante",,,4-4-2,4-4-2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009337,"formacao_mandante, formacao_visitante",,,4-4-2,4-4-2,Transfermarkt linkado; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,Link conhecido; conferir/aplicar somente os campos listados em o_que_falta.
2010,26,3340,2010-09-29,Gremio Prudente,Guarani,4-2,"tecnico_mandante, tecnico_visitante",,,4-5-1,4-4-2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009343,"formacao_mandante, formacao_visitante",,,4-5-1,4-4-2,Transfermarkt linkado; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,Link conhecido; conferir/aplicar somente os campos listados em o_que_falta.
2010,26,3342,2010-09-29,Athletico-PR,Vitoria,1-0,"tecnico_mandante, tecnico_visitante",,,4-4-2,4-4-2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009348,"formacao_mandante, formacao_visitante",,,4-4-2,4-4-2,Transfermarkt linkado; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,Link conhecido; conferir/aplicar somente os campos listados em o_que_falta.
2010,27,3350,2010-10-02,Gremio Prudente,Fluminense,1-1,"tecnico_mandante, tecnico_visitante",,,4-4-2,4-4-2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009353,"formacao_mandante, formacao_visitante",,,4-4-2,4-4-2,Transfermarkt linkado; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,Link conhecido; conferir/aplicar somente os campos listados em o_que_falta.
2010,27,3351,2010-10-02,Vitoria,Gremio,0-3,"tecnico_mandante, tecnico_visitante",,,4-4-2,4-4-2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009357,"formacao_mandante, formacao_visitante",,,4-4-2,4-4-2,Transfermarkt linkado; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,Link conhecido; conferir/aplicar somente os campos listados em o_que_falta.
2010,27,3355,2010-10-02,Avai,Sao Paulo,0-0,"tecnico_mandante, tecnico_visitante",,,4-5-1,4-4-2,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009358,"formacao_mandante, formacao_visitante",,,4-5-1,4-4-2,Transfermarkt linkado; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,Link conhecido; conferir/aplicar somente os campos listados em o_que_falta.
2010,28,3362,2010-10-06,Sao Paulo,Vitoria,2-0,"tecnico_mandante, tecnico_visitante",,,4-4-2,4-5-1,https://www.transfermarkt.com.br/spielbericht/index/spielbericht/1009359,"formacao_mandante, formacao_visitante",,,4-4-2,4-5-1,Transfermarkt linkado; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,Link conhecido; conferir/aplicar somente os campos listados em o_que_falta.
